"speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","SPID"
"Nerodia sipedon","reptile","Squamata","Colubridae",7,"npp",-0.367082554664808,-0.385047115248051,0.25,"SP48"
"Oligodon albocinctus","reptile","Squamata","Colubridae",5,"npp",0.8,1.09861228866811,0.5,"SP49"
"Oligodon cyclurus","reptile","Squamata","Colubridae",9,"npp",0.0740414200310188,0.07417716843569,0.166666666666667,"SP50"
"Pantherophis obsoletus","reptile","Squamata","Colubridae",21,"npp",-0.0181325738884638,-0.0181345615516747,0.0555555555555556,"SP51"
"Pareas carinatus","reptile","Squamata","Pareatidae",5,"npp",-0.877485334682849,-1.36472891641305,0.5,"SP52"
"Pituophis melanoleucus","reptile","Squamata","Colubridae",29,"npp",0.109169822121466,0.109606647199194,0.0384615384615385,"SP53"
"Protobothrops jerdonii","reptile","Squamata","Viperidae",7,"npp",-0.214285714285714,-0.217659035628923,0.25,"SP54"
"Protobothrops mucrosquamatus","reptile","Squamata","Viperidae",5,"npp",0.0512989176042578,0.0513439878397489,0.5,"SP55"
"Psammodynastes pulverulentus","reptile","Squamata","Lamprophiidae",21,"npp",0.618950536411879,0.723302104440962,0.0555555555555556,"SP56"
"Psammophis condanarus","reptile","Squamata","Psammophiidae",6,"npp",0.350894424451589,0.366463405510044,0.333333333333333,"SP57"
"Pseudoxenodon macrops","reptile","Squamata","Pseudoxenodontidae",5,"npp",0.430500543321235,0.460510931723725,0.5,"SP58"
"Ptyas korros","reptile","Squamata","Colubridae",6,"npp",-0.553890514920897,-0.623976335296192,0.333333333333333,"SP59"
"Ptyas mucosa","reptile","Squamata","Colubridae",5,"npp",0.656796951538818,0.787159610036673,0.5,"SP60"
"Indotyphlops braminus","reptile","Squamata","Typhlopidae",9,"npp",-0.00307049536387904,-0.00307050501341741,0.166666666666667,"SP61"
"Rhabdophis himalayanus","reptile","Squamata","Natricidae",7,"npp",0.51698638796951,0.572218085401,0.25,"SP62"
"Rhabdophis subminiatus","reptile","Squamata","Natricidae",13,"npp",0.0639773630698726,0.0640648667127208,0.1,"SP63"
"Rhinocheilus lecontei","reptile","Squamata","Colubridae",6,"npp",-0.257142857142857,-0.26304654794839,0.333333333333333,"SP64"
"Sceloporus magister","reptile","Squamata","Phrynosomatidae",5,"npp",-0.534477091061502,-0.596391817786395,0.5,"SP65"
"Sceloporus occidentalis","reptile","Squamata","Phrynosomatidae",24,"npp",-0.147950522116894,-0.149044439486742,0.0476190476190476,"SP66"
"Sceloporus undulatus","reptile","Squamata","Phrynosomatidae",6,"npp",0.651561894700225,0.778008055363533,0.333333333333333,"SP67"
"Storeria occipitomaculata","reptile","Squamata","Colubridae",5,"npp",0.5,0.549306144334055,0.5,"SP68"
"Thamnophis atratus","reptile","Squamata","Colubridae",28,"npp",-0.264974901303403,-0.271451456790787,0.04,"SP69"
"Thamnophis couchii","reptile","Squamata","Colubridae",23,"npp",0.589945589869562,0.677582607946121,0.05,"SP70"
"Thamnophis elegans","reptile","Squamata","Colubridae",48,"npp",-0.265040005074785,-0.271521478084128,0.0222222222222222,"SP71"
"Thamnophis hammondii","reptile","Squamata","Colubridae",8,"npp",-0.188592830644161,-0.190877702315613,0.2,"SP72"
"Thamnophis proximus","reptile","Squamata","Colubridae",7,"npp",-0.0357142857142857,-0.0357294819910724,0.25,"SP73"
"Thamnophis sirtalis","reptile","Squamata","Colubridae",41,"npp",-0.0207370867575772,-0.0207400600255589,0.0263157894736842,"SP74"
"Trachylepis maculilabris","reptile","Squamata","Scincidae",5,"npp",-0.0466252404120156,-0.0466590709558829,0.5,"SP75"
"Trimeresurus albolabris","reptile","Squamata","Viperidae",18,"npp",0.424811389991471,0.453548360812204,0.0666666666666667,"SP76"
"Trimeresurus erythrurus","reptile","Squamata","Viperidae",11,"npp",-0.479035398451228,-0.521731650153939,0.125,"SP77"
"Trimeresurus purpureomaculatus","reptile","Squamata","Viperidae",9,"npp",-0.322407422603809,-0.33433148522421,0.166666666666667,"SP78"
"Uta stansburiana","reptile","Squamata","Phrynosomatidae",12,"npp",0.104135518231999,0.104514408908178,0.111111111111111,"SP79"
"Xenochrophis piscator","reptile","Squamata","Colubridae",41,"npp",-0.0538590781114468,-0.0539112470838805,0.0263157894736842,"SP80"
"Xenopeltis unicolor","reptile","Squamata","Xenopeltidae",7,"npp",0.0150177967650781,0.0150189259269057,0.25,"SP81"
"Agama agama","reptile","Squamata","Agamidae",11,"npp.sd",-0.0445339341489514,-0.044563410189989,0.125,"SP1"
"Agama lebretoni","reptile","Squamata","Agamidae",5,"npp.sd",0.0263992876934695,0.0264054230107421,0.5,"SP2"
"Ahaetulla fronticincta","reptile","Squamata","Colubridae",12,"npp.sd",0.358019550763136,0.374612427211812,0.111111111111111,"SP3"
"Ahaetulla nasuta","reptile","Squamata","Colubridae",20,"npp.sd",0.30498951715562,0.315011679106611,0.0588235294117647,"SP4"
"Ahaetulla prasina","reptile","Squamata","Colubridae",22,"npp.sd",-0.252725434355599,-0.258322064457882,0.0526315789473684,"SP5"
"Amphiesma stolatum","reptile","Squamata","Colubridae",13,"npp.sd",0.0118691586707883,0.0118697160814402,0.1,"SP6"
"Anolis carolinensis","reptile","Squamata","Dactyloidae",7,"npp.sd",-0.454568828461368,-0.49044408777358,0.25,"SP7"
"Aspidoscelis tigris","reptile","Squamata","Teiidae",20,"npp.sd",-0.100983058406057,-0.101328434958857,0.0588235294117647,"SP8"
"Bitia hydroides","reptile","Squamata","Homalopsidae",6,"npp.sd",-0.0887928442422532,-0.0890273069742335,0.333333333333333,"SP9"
"Boiga cyanea","reptile","Squamata","Colubridae",7,"npp.sd",0.0181818181818182,0.0181838220854374,0.25,"SP10"
"Boiga irregularis","reptile","Squamata","Colubridae",8,"npp.sd",-0.271649793258211,-0.278644200241321,0.2,"SP11"
"Boiga multomaculata","reptile","Squamata","Colubridae",12,"npp.sd",0.285048099801592,0.293168080199823,0.111111111111111,"SP12"
"Boiga ochracea","reptile","Squamata","Colubridae",10,"npp.sd",-0.333333333333333,-0.346573590279973,0.142857142857143,"SP13"
"Callisaurus draconoides","reptile","Squamata","Phrynosomatidae",11,"npp.sd",-0.280792314171119,-0.288541995562253,0.125,"SP14"
"Cerberus rynchops","reptile","Squamata","Homalopsidae",11,"npp.sd",0.432463248380552,0.462922642428715,0.125,"SP15"
"Charina bottae","reptile","Squamata","Boidae",10,"npp.sd",-0.166324144335387,-0.167883830298117,0.142857142857143,"SP16"
"Chrysopelea ornata","reptile","Squamata","Colubridae",14,"npp.sd",-0.0572377123777663,-0.0573003420876496,0.0909090909090909,"SP17"
"Coluber constrictor","reptile","Squamata","Colubridae",16,"npp.sd",-0.329783512828613,-0.342585330140959,0.0769230769230769,"SP18"
"Contia tenuis","reptile","Squamata","Dipsadidae",8,"npp.sd",0.655404553141516,0.78471479487499,0.2,"SP19"
"Crotalus atrox","reptile","Squamata","Viperidae",15,"npp.sd",-0.310642465583241,-0.321256336708584,0.0833333333333333,"SP20"
"Crotalus mitchellii","reptile","Squamata","Viperidae",5,"npp.sd",0.853491813588197,1.2688726495048,0.5,"SP21"
"Crotalus scutulatus","reptile","Squamata","Viperidae",12,"npp.sd",0.66910522549032,0.809121272825336,0.111111111111111,"SP22"
"Crotalus viridis","reptile","Squamata","Viperidae",24,"npp.sd",-0.197115460975967,-0.19972962147145,0.0476190476190476,"SP23"
"Crotaphytus bicinctores","reptile","Squamata","Crotaphytidae",6,"npp.sd",-0.380698780374208,-0.400876617639529,0.333333333333333,"SP24"
"Cylindrophis ruffus","reptile","Squamata","Cylindrophiidae",5,"npp.sd",0.475,0.516507503091148,0.5,"SP25"
"Dendrelaphis cyanochloris","reptile","Squamata","Colubridae",6,"npp.sd",-0.513146938915252,-0.566992235863609,0.333333333333333,"SP26"
"Dendrelaphis pictus","reptile","Squamata","Colubridae",9,"npp.sd",-0.0733295168162446,-0.0734613787755235,0.166666666666667,"SP27"
"Dendrelaphis subocularis","reptile","Squamata","Colubridae",5,"npp.sd",0.4,0.423648930193602,0.5,"SP28"
"Diadophis punctatus","reptile","Squamata","Colubridae",20,"npp.sd",0.0554601712285467,0.0555171384288831,0.0588235294117647,"SP29"
"Lycodon septentrionalis","reptile","Squamata","Colubridae",7,"npp.sd",0.163345960911233,0.164822465249853,0.25,"SP30"
"Dipsosaurus dorsalis","reptile","Squamata","Iguanidae",9,"npp.sd",-0.741765333237864,-0.954392852304035,0.166666666666667,"SP31"
"Elaphe taeniura","reptile","Squamata","Colubridae",6,"npp.sd",0.163993841535355,0.165488178929064,0.333333333333333,"SP32"
"Elgaria coerulea","reptile","Squamata","Anguidae",7,"npp.sd",-0.574602523864693,-0.654367091891314,0.25,"SP33"
"Elgaria multicarinata","reptile","Squamata","Anguidae",23,"npp.sd",0.0268637987943789,0.0268702638032968,0.05,"SP34"
"Plestiodon skiltonianus","reptile","Squamata","Scincidae",9,"npp.sd",0.219426862868128,0.223053900879095,0.166666666666667,"SP35"
"Gambelia wislizenii","reptile","Squamata","Crotaphytidae",8,"npp.sd",0.0852883789573634,0.0854960851883806,0.2,"SP36"
"Gerarda prevostiana","reptile","Squamata","Homalopsidae",6,"npp.sd",0.657142857142857,0.78776818037921,0.333333333333333,"SP37"
"Hemidactylus mabouia","reptile","Squamata","Gekkonidae",16,"npp.sd",-0.125718922450131,-0.126387614867474,0.0769230769230769,"SP38"
"Hypsiglena torquata","reptile","Squamata","Dipsadidae",8,"npp.sd",-0.230611307459002,-0.234835014545662,0.2,"SP39"
"Lampropeltis getula","reptile","Squamata","Colubridae",15,"npp.sd",-0.160714285714286,-0.162119834092789,0.0833333333333333,"SP40"
"Boaedon lineatus","reptile","Squamata","Lamprophiidae",7,"npp.sd",0.11492229240239,0.115432271102291,0.25,"SP41"
"Lycodon aulicus","reptile","Squamata","Colubridae",30,"npp.sd",0.0147124225936813,0.014713484259234,0.037037037037037,"SP42"
"Lycodon zawi","reptile","Squamata","Colubridae",5,"npp.sd",0.6,0.693147180559945,0.5,"SP43"
"Masticophis flagellum","reptile","Squamata","Colubridae",7,"npp.sd",0.321428571428571,0.333239466738892,0.25,"SP44"
"Masticophis lateralis","reptile","Squamata","Colubridae",11,"npp.sd",0.150856201565833,0.152016460788571,0.125,"SP45"
"Masticophis taeniatus","reptile","Squamata","Colubridae",5,"npp.sd",0.2,0.202732554054082,0.5,"SP46"
"Naja kaouthia","reptile","Squamata","Elapidae",5,"npp.sd",-0.476223595842328,-0.518088798876774,0.5,"SP47"
"Nerodia sipedon","reptile","Squamata","Colubridae",7,"npp.sd",0.759725316036603,0.99556511001088,0.25,"SP48"
"Oligodon albocinctus","reptile","Squamata","Colubridae",5,"npp.sd",0.9,1.47221948958322,0.5,"SP49"
"Oligodon cyclurus","reptile","Squamata","Colubridae",9,"npp.sd",-0.201807540714749,-0.204616120488419,0.166666666666667,"SP50"
"Pantherophis obsoletus","reptile","Squamata","Colubridae",21,"npp.sd",0.146560081418412,0.147623179767126,0.0555555555555556,"SP51"
"Pareas carinatus","reptile","Squamata","Pareatidae",5,"npp.sd",-0.708051706882201,-0.883265969508083,0.5,"SP52"
"Pituophis melanoleucus","reptile","Squamata","Colubridae",29,"npp.sd",0.107543599570732,0.107961103650866,0.0384615384615385,"SP53"
"Protobothrops jerdonii","reptile","Squamata","Viperidae",7,"npp.sd",0.321428571428571,0.333239466738892,0.25,"SP54"
"Protobothrops mucrosquamatus","reptile","Squamata","Viperidae",5,"npp.sd",-0.307793505625546,-0.318106167928833,0.5,"SP55"
"Psammodynastes pulverulentus","reptile","Squamata","Lamprophiidae",21,"npp.sd",0.321575631791899,0.333403480115974,0.0555555555555556,"SP56"
"Psammophis condanarus","reptile","Squamata","Psammophiidae",6,"npp.sd",0.240067665780286,0.244845915446348,0.333333333333333,"SP57"
"Pseudoxenodon macrops","reptile","Squamata","Pseudoxenodontidae",5,"npp.sd",0.810166847773745,1.12751438045763,0.5,"SP58"
"Ptyas korros","reptile","Squamata","Colubridae",6,"npp.sd",-0.798974621957983,-1.09577048404856,0.333333333333333,"SP59"
"Ptyas mucosa","reptile","Squamata","Colubridae",5,"npp.sd",0.411112603785436,0.436949382719905,0.5,"SP60"
"Indotyphlops braminus","reptile","Squamata","Typhlopidae",9,"npp.sd",0.287583052739214,0.295929398669394,0.166666666666667,"SP61"
"Rhabdophis himalayanus","reptile","Squamata","Natricidae",7,"npp.sd",0.583035248960066,0.667048819238164,0.25,"SP62"
"Rhabdophis subminiatus","reptile","Squamata","Natricidae",13,"npp.sd",-0.115539903258299,-0.116058193100339,0.1,"SP63"
"Rhinocheilus lecontei","reptile","Squamata","Colubridae",6,"npp.sd",-0.885714285714286,-1.40168019045327,0.333333333333333,"SP64"
"Sceloporus magister","reptile","Squamata","Phrynosomatidae",5,"npp.sd",-0.869626356546304,-1.33154468612051,0.5,"SP65"
"Sceloporus occidentalis","reptile","Squamata","Phrynosomatidae",24,"npp.sd",-0.135666432357536,-0.136508077358601,0.0476190476190476,"SP66"
"Sceloporus undulatus","reptile","Squamata","Phrynosomatidae",6,"npp.sd",0.651561894700225,0.778008055363533,0.333333333333333,"SP67"
"Storeria occipitomaculata","reptile","Squamata","Colubridae",5,"npp.sd",0.7,0.867300527694053,0.5,"SP68"
"Thamnophis atratus","reptile","Squamata","Colubridae",28,"npp.sd",-0.156855779930352,-0.158161523238573,0.04,"SP69"
"Thamnophis couchii","reptile","Squamata","Colubridae",23,"npp.sd",0.349197812303046,0.364529872409741,0.05,"SP70"
"Thamnophis elegans","reptile","Squamata","Colubridae",48,"npp.sd",-0.311327817055719,-0.322015066295798,0.0222222222222222,"SP71"
"Thamnophis hammondii","reptile","Squamata","Colubridae",8,"npp.sd",-0.0678263798431818,-0.0679306777784527,0.2,"SP72"
"Thamnophis proximus","reptile","Squamata","Colubridae",7,"npp.sd",-0.0357142857142857,-0.0357294819910724,0.25,"SP73"
"Thamnophis sirtalis","reptile","Squamata","Colubridae",41,"npp.sd",-0.118192127772614,-0.118747144071327,0.0263157894736842,"SP74"
"Trachylepis maculilabris","reptile","Squamata","Scincidae",5,"npp.sd",0.475,0.516507503091148,0.5,"SP75"
"Trimeresurus albolabris","reptile","Squamata","Viperidae",18,"npp.sd",0.347747666790639,0.362879290980473,0.0666666666666667,"SP76"
"Trimeresurus erythrurus","reptile","Squamata","Viperidae",11,"npp.sd",-0.494654267992235,-0.542203693671814,0.125,"SP77"
"Trimeresurus purpureomaculatus","reptile","Squamata","Viperidae",9,"npp.sd",-0.170525455906436,-0.172207806839793,0.166666666666667,"SP78"
"Uta stansburiana","reptile","Squamata","Phrynosomatidae",12,"npp.sd",-0.0565211500687459,-0.0565814539504645,0.111111111111111,"SP79"
"Xenochrophis piscator","reptile","Squamata","Colubridae",41,"npp.sd",-0.128099522572622,-0.128807185696103,0.0263157894736842,"SP80"
"Xenopeltis unicolor","reptile","Squamata","Xenopeltidae",7,"npp.sd",0.100056861011424,0.100392783426097,0.25,"SP81"
