"","speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi"
"21","Adelomyia melanogenys","bird","Apodiformes","Trochilidae",16,"tavg",-0.55886620299578,-0.631182909525355,0.0769230769230769
"22","Aechmophorus clarkii","bird","Podicipediformes","Podicipedidae",15,"tavg",-0.26576121837502,-0.272297341280192,0.0833333333333333
"23","Aechmophorus occidentalis","bird","Podicipediformes","Podicipedidae",43,"tavg",-0.483016152910859,-0.526910801825033,0.025
"24","Aegithalos caudatus","bird","Passeriformes","Aegithalidae",8,"tavg",-0.0577827427608937,-0.0578471811142584,0.2
"25","Aegithalos concinnus","bird","Passeriformes","Aegithalidae",7,"tavg",0.0226608879815461,0.0226647680854533,0.25
"26","Aegolius acadicus","bird","Strigiformes","Strigidae",87,"tavg",-0.221677637500395,-0.225419759892481,0.0119047619047619
"27","Aegolius funereus","bird","Strigiformes","Strigidae",22,"tavg",0.145062259326803,0.146092820554331,0.0526315789473684
"28","Aeronautes saxatalis","bird","Apodiformes","Apodidae",12,"tavg",-0.344112525226038,-0.358749999915487,0.111111111111111
"29","Aethopyga gouldiae","bird","Passeriformes","Nectariniidae",6,"tavg",0.242742162810781,0.247685919616478,0.333333333333333
"30","Aethopyga nipalensis","bird","Passeriformes","Nectariniidae",7,"tavg",-0.0667734598808147,-0.0668729670493697,0.25
"31","Afrixalus fulvovittatus","amphibian","Anura","Hyperoliidae",11,"tavg",-0.375439863887539,-0.394740620103499,0.125
"32","Afrixalus laevis","amphibian","Anura","Hyperoliidae",5,"tavg",-0.412041299836306,-0.438067479593152,0.5
"33","Afrixalus paradorsalis","amphibian","Anura","Hyperoliidae",8,"tavg",-0.0897000928376578,-0.0899418398264965,0.2
"34","Agama agama","reptile","Squamata","Agamidae",11,"tavg",-0.544459305172604,-0.610472055038485,0.125
"35","Agama lebretoni","reptile","Squamata","Agamidae",5,"tavg",0.518283457975107,0.573989908879046,0.5
"36","Agapornis roseicollis","bird","Psittaciformes","Psittacidae",5,"tavg",0.642350661798643,0.762165410400875,0.5
"37","Agelaius phoeniceus","bird","Passeriformes","Icteridae",121,"tavg",-0.230714968053018,-0.234944500386874,0.00847457627118644
"38","Agelaius tricolor","bird","Passeriformes","Icteridae",5,"tavg",-0.132812640253587,-0.133601913326087,0.5
"39","Aglaeactis cupripennis","bird","Apodiformes","Trochilidae",13,"tavg",0.0184779936526292,0.0184800971025123,0.1
"40","Aglaiocercus kingii","bird","Apodiformes","Trochilidae",10,"tavg",-0.447484517430362,-0.481550528782225,0.142857142857143
"41","Ahaetulla fronticincta","reptile","Squamata","Colubridae",12,"tavg",0.162399888076546,0.163850611394618,0.111111111111111
"42","Ahaetulla nasuta","reptile","Squamata","Colubridae",20,"tavg",-0.252081149159291,-0.25763394063685,0.0588235294117647
"43","Ahaetulla prasina","reptile","Squamata","Colubridae",22,"tavg",0.41990884251998,0.447581346933185,0.0526315789473684
"44","Ailuroedus buccoides","bird","Passeriformes","Ptilonorhynchidae",11,"tavg",0.0950710140318678,0.0953590105336338,0.125
"45","Ailuroedus melanotis","bird","Passeriformes","Ptilonorhynchidae",8,"tavg",-0.061142512328395,-0.0612188755493555,0.2
"46","Aimophila ruficeps","bird","Passeriformes","Passerellidae",24,"tavg",-0.34659487481219,-0.361568513535979,0.0476190476190476
"47","Aix sponsa","bird","Anseriformes","Anatidae",27,"tavg",-0.151269753402558,-0.152439670282344,0.0416666666666667
"48","Alauda arvensis","bird","Passeriformes","Alaudidae",7,"tavg",-0.391311896062463,-0.413348199607791,0.25
"49","Alcedo atthis","bird","Coraciiformes","Alcedinidae",7,"tavg",-0.654505814571183,-0.783140914063111,0.25
"50","Alcedo azurea","bird","Coraciiformes","Alcedinidae",8,"tavg",-0.121957873657084,-0.122567983622031,0.2
"51","Alcedo cristata","bird","Coraciiformes","Alcedinidae",10,"tavg",-0.747029977169159,-0.966200737170412,0.142857142857143
"52","Alcedo cyanopectus","bird","Coraciiformes","Alcedinidae",7,"tavg",-0.229118319995671,-0.23325873978213,0.25
"53","Alcedo leucogaster","bird","Coraciiformes","Alcedinidae",7,"tavg",0.544197885732903,0.610100565660607,0.25
"54","Alcedo quadribrachys","bird","Coraciiformes","Alcedinidae",7,"tavg",-0.69712859797233,-0.86169237114431,0.25
"55","Alces alces","mammal","Artiodactyla","Cervidae",14,"tavg",-0.339362805976837,-0.353372223577681,0.0909090909090909
"56","Alcippe castaneceps","bird","Passeriformes","Pellorneidae",8,"tavg",-0.0844557753201365,-0.0846574405177411,0.2
"57","Alcippe morrisonia","bird","Passeriformes","Pellorneidae",10,"tavg",-0.128377553275012,-0.129089865097857,0.142857142857143
"58","Alcippe schaefferi","bird","Passeriformes","Pellorneidae",7,"tavg",0.0751799419488151,0.0753220638306225,0.25
"59","Aleadryas rufinucha","bird","Passeriformes","Corvidae",6,"tavg",-0.732090780240382,-0.933218155197323,0.333333333333333
"60","Alectoris chukar","bird","Galliformes","Phasianidae",7,"tavg",0.571428571428571,0.64964149206513,0.25
"61","Alethe diademata","bird","Passeriformes","Muscicapidae",8,"tavg",0.0339043624700213,0.0339173625244219,0.2
"62","Alethe poliocephala","bird","Passeriformes","Muscicapidae",7,"tavg",0.215922007312041,0.219374712936798,0.25
"63","Allactaga balikunica","mammal","Rodentia","Dipodidae",11,"tavg",-0.706431760668521,-0.880024832716962,0.125
"64","Allactaga bullata","mammal","Rodentia","Dipodidae",8,"tavg",-0.199300290055294,-0.202003795632549,0.2
"65","Allactaga sibirica","mammal","Rodentia","Dipodidae",26,"tavg",-0.186630443637861,-0.188843722274775,0.0434782608695652
"66","Alle alle","bird","Charadriiformes","Alcidae",6,"tavg",0.871169540400899,1.33791083187276,0.333333333333333
"67","Allocricetulus curtatus","mammal","Rodentia","Cricetidae",6,"tavg",0.443581348528211,0.476680685695395,0.333333333333333
"68","Alophoixus bres","bird","Passeriformes","Pycnonotidae",7,"tavg",0.19865278058981,0.201329593351039,0.25
"69","Alophoixus ochraceus","bird","Passeriformes","Pycnonotidae",5,"tavg",-0.698136120629621,-0.863655171862628,0.5
"70","Alopochen aegyptiaca","bird","Anseriformes","Anatidae",5,"tavg",-0.189445574247187,-0.191762041893561,0.5
"71","Alticola barakshin","mammal","Rodentia","Cricetidae",6,"tavg",-0.329924381593359,-0.342743397172337,0.333333333333333
"72","Alticola lemminus","mammal","Rodentia","Cricetidae",8,"tavg",-0.816641966407849,-1.14665214662812,0.2
"73","Alticola strelzowi","mammal","Rodentia","Cricetidae",10,"tavg",0.0289782929429163,0.028986408456962,0.142857142857143
"74","Amalocichla incerta","bird","Passeriformes","Petroicidae",5,"tavg",-0.645058558177675,-0.76678921849311,0.5
"75","Amazilia amazilia","bird","Apodiformes","Trochilidae",8,"tavg",-0.354125497413127,-0.370152959564379,0.2
"76","Amazilia beryllina","bird","Apodiformes","Trochilidae",19,"tavg",0.25860575641867,0.2646136591595,0.0625
"77","Amazilia candida","bird","Apodiformes","Trochilidae",6,"tavg",-0.369891366939869,-0.388297241762161,0.333333333333333
"78","Amazilia chionogaster","bird","Apodiformes","Trochilidae",10,"tavg",-0.708252933257627,-0.883669616833313,0.142857142857143
"79","Amazilia cyanocephala","bird","Apodiformes","Trochilidae",8,"tavg",0.45999203652612,0.497301186814955,0.2
"80","Amazilia cyanura","bird","Apodiformes","Trochilidae",6,"tavg",0.0220570386443322,0.0220606167005267,0.333333333333333
"81","Amazilia fimbriata","bird","Apodiformes","Trochilidae",7,"tavg",0.285293522926568,0.29343522846224,0.25
"82","Amazilia rutila","bird","Apodiformes","Trochilidae",11,"tavg",-0.722753665233259,-0.91338642579879,0.125
"83","Amazilia tzacatl","bird","Apodiformes","Trochilidae",7,"tavg",0.366848450378334,0.384776579638856,0.25
"84","Amblycercus holosericeus","bird","Passeriformes","Icteridae",12,"tavg",0.811281443620609,1.13076653406399,0.111111111111111
"85","Amblyornis macgregoriae","bird","Passeriformes","Ptilonorhynchidae",14,"tavg",-0.0328581692435564,-0.032870002118969,0.0909090909090909
"86","Amblyospiza albifrons","bird","Passeriformes","Ploceidae",7,"tavg",0.19879221160814,0.201474756972576,0.25
"87","Amblyramphus holosericeus","bird","Passeriformes","Icteridae",5,"tavg",-0.673125059058674,-0.81643539771525,0.5
"88","Ambystoma californiense","amphibian","Caudata","Ambystomatidae",9,"tavg",0.0392285221180145,0.0392486633409974,0.166666666666667
"89","Ammodramus aurifrons","bird","Passeriformes","Passerellidae",8,"tavg",-0.242278450232602,-0.247193231419124,0.2
"90","Ammodramus caudacutus","bird","Passeriformes","Passerellidae",11,"tavg",0.461876843855148,0.499694474950069,0.125
"91","Ammodramus humeralis","bird","Passeriformes","Passerellidae",7,"tavg",-0.149693374895178,-0.150826767713351,0.25
"92","Ammodramus nelsoni","bird","Passeriformes","Passerellidae",5,"tavg",-0.080078715398746,-0.0802505479621024,0.5
"93","Ammodramus savannarum","bird","Passeriformes","Passerellidae",26,"tavg",-0.132010801242591,-0.132785764848144,0.0434782608695652
"94","Ammospermophilus harrisii","mammal","Rodentia","Sciuridae",41,"tavg",-0.208100546916717,-0.211185089328025,0.0263157894736842
"95","Ammospermophilus leucurus","mammal","Rodentia","Sciuridae",86,"tavg",-0.0167374837522502,-0.0167390469800073,0.0120481927710843
"96","Ammospermophilus nelsoni","mammal","Rodentia","Sciuridae",6,"tavg",0.428929158328791,0.458583667234452,0.333333333333333
"97","Amolops afghanus","amphibian","Anura","Ranidae",5,"tavg",-0.397689046328761,-0.420900812122916,0.5
"98","Ampelion rubrocristatus","bird","Passeriformes","Cotingidae",14,"tavg",0.0549826762236793,0.0550381828850684,0.0909090909090909
"99","Amphiesma stolatum","reptile","Squamata","Colubridae",13,"tavg",-0.106360282839805,-0.106764094524284,0.1
"100","Amphispiza belli","bird","Passeriformes","Passerellidae",17,"tavg",0.487304333170749,0.532519080478581,0.0714285714285714
"101","Amphispiza bilineata","bird","Passeriformes","Passerellidae",26,"tavg",-0.615684171904144,-0.71802454912866,0.0434782608695652
"102","Anabacerthia striaticollis","bird","Passeriformes","Furnariidae",5,"tavg",-0.477882496278458,-0.520236465520364,0.5
"103","Anairetes flavirostris","bird","Passeriformes","Tyrannidae",12,"tavg",-0.298279153936652,-0.30762963452374,0.111111111111111
"104","Anairetes nigrocristatus","bird","Passeriformes","Tyrannidae",7,"tavg",-0.274725728322907,-0.281968215167255,0.25
"105","Anairetes parulus","bird","Passeriformes","Tyrannidae",15,"tavg",0.0626341393037682,0.0627162379515023,0.0833333333333333
"106","Anairetes reguloides","bird","Passeriformes","Tyrannidae",18,"tavg",-0.39332074328863,-0.415722478442141,0.0666666666666667
"107","Anas acuta","bird","Anseriformes","Anatidae",7,"tavg",-0.287695666926676,-0.296052170561577,0.25
"108","Anas americana","bird","Anseriformes","Anatidae",14,"tavg",-0.484936963361504,-0.529419153503947,0.0909090909090909
"109","Anas clypeata","bird","Anseriformes","Anatidae",17,"tavg",0.222408757150163,0.226188795484993,0.0714285714285714
"110","Anas crecca","bird","Anseriformes","Anatidae",16,"tavg",-0.479251044757405,-0.522011556973889,0.0769230769230769
"111","Anas cyanoptera","bird","Anseriformes","Anatidae",9,"tavg",-0.45165173311181,-0.486773352389757,0.166666666666667
"112","Anas discors","bird","Anseriformes","Anatidae",6,"tavg",-0.149988022328075,-0.151128182586174,0.333333333333333
"113","Anas platyrhynchos","bird","Anseriformes","Anatidae",44,"tavg",-0.173060436439351,-0.174819878533864,0.024390243902439
"114","Anas rubripes","bird","Anseriformes","Anatidae",6,"tavg",-0.318874069608847,-0.330393232577122,0.333333333333333
"115","Anas strepera","bird","Anseriformes","Anatidae",9,"tavg",0.365777477072689,0.383539625175181,0.166666666666667
"116","Anas undulata","bird","Anseriformes","Anatidae",5,"tavg",0.454945484880162,0.490918947031866,0.5
"117","Andigena hypoglauca","bird","Piciformes","Ramphastidae",6,"tavg",-0.233428969012946,-0.237812993061749,0.333333333333333
"118","Aneides lugubris","amphibian","Caudata","Plethodontidae",8,"tavg",0.236827486420811,0.241410398311595,0.2
"119","Anisognathus igniventris","bird","Passeriformes","Thraupidae",10,"tavg",0.21004032230773,0.213213529497118,0.142857142857143
"120","Anisognathus lacrymosus","bird","Passeriformes","Thraupidae",7,"tavg",0.468243269125729,0.507817899070385,0.25
"121","Anisognathus somptuosus","bird","Passeriformes","Thraupidae",8,"tavg",-0.316853893634643,-0.328146000788962,0.2
"122","Anolis carolinensis","reptile","Squamata","Dactyloidae",7,"tavg",0.198358475734858,0.201023215845887,0.25
"123","Anoura geoffroyi","mammal","Chiroptera","Phyllostomidae",14,"tavg",0.140747831178378,0.1416884393839,0.0909090909090909
"124","Anourosorex squamipes","mammal","Insectivora","Soricidae",5,"tavg",0.848595004264045,1.25111141749509,0.5
"125","Antechinus stuartii","mammal","Dasyuromorphia","Dasyuridae",5,"tavg",0.227574781840878,0.231630290384489,0.5
"126","Anthochaera carunculata","bird","Passeriformes","Meliphagidae",7,"tavg",-0.0181848241863325,-0.0181868290841652,0.25
"127","Anthracothorax dominicus","bird","Apodiformes","Trochilidae",5,"tavg",-0.23964654834354,-0.24439909158487,0.5
"128","Anthracothorax nigricollis","bird","Apodiformes","Trochilidae",6,"tavg",-0.476490686685923,-0.518434286419658,0.333333333333333
"129","Anthreptes collaris","bird","Passeriformes","Nectariniidae",19,"tavg",-0.53756980075386,-0.600731386250267,0.0625
"130","Anthus hodgsoni","bird","Passeriformes","Motacillidae",14,"tavg",-0.639823378457953,-0.757874646212017,0.0909090909090909
"131","Anthus lutescens","bird","Passeriformes","Motacillidae",6,"tavg",-0.660551909044148,-0.793792132311071,0.333333333333333
"132","Anthus novaeseelandiae","bird","Passeriformes","Motacillidae",5,"tavg",-0.701646415445623,-0.870536116276782,0.5
"133","Anthus rubescens","bird","Passeriformes","Motacillidae",18,"tavg",-0.505634748987155,-0.556847614943181,0.0666666666666667
"134","Anthus similis","bird","Passeriformes","Motacillidae",6,"tavg",-0.855214495938118,-1.27525111735993,0.333333333333333
"135","Anthus spinoletta","bird","Passeriformes","Motacillidae",7,"tavg",-0.680412849875163,-0.829882389607106,0.25
"136","Anthus trivialis","bird","Passeriformes","Motacillidae",11,"tavg",0.236514047561885,0.241078361027673,0.125
"137","Antrostomus carolinensis","bird","Caprimulgiformes","Caprimulgidae",9,"tavg",-0.153876879872445,-0.155108935203959,0.166666666666667
"138","Antrostomus vociferus","bird","Caprimulgiformes","Caprimulgidae",12,"tavg",-0.297723749043797,-0.307020099975811,0.111111111111111
"139","Antrozous pallidus","mammal","Chiroptera","Vespertilionidae",42,"tavg",-0.145466412755428,-0.146505686166633,0.0256410256410256
"140","Anumbius annumbi","bird","Passeriformes","Furnariidae",8,"tavg",-0.410198418175569,-0.43584975861852,0.2
"141","Apalis flavida","bird","Passeriformes","Cisticolidae",9,"tavg",0.15957509767964,0.16095066092657,0.166666666666667
"142","Aphelocoma californica","bird","Passeriformes","Corvidae",59,"tavg",-0.193421969274389,-0.195889709358447,0.0178571428571429
"143","Aphelocoma ultramarina","bird","Passeriformes","Corvidae",10,"tavg",-0.459275376320194,-0.496392569091437,0.142857142857143
"144","Aphriza virgata","bird","Charadriiformes","Scolopacidae",7,"tavg",-0.300801076674368,-0.310400141010425,0.25
"145","Aplodontia rufa","mammal","Rodentia","Aplodontiidae",38,"tavg",-0.130749193201612,-0.131501997904124,0.0285714285714286
"146","Aplonis cantoroides","bird","Passeriformes","Sturnidae",5,"tavg",0.201219430544828,0.204003117672659,0.5
"147","Aplonis metallica","bird","Passeriformes","Sturnidae",12,"tavg",0.311463615616126,0.322165446851847,0.111111111111111
"148","Aplonis striata","bird","Passeriformes","Sturnidae",5,"tavg",-0.373563978139857,-0.392558717818052,0.5
"149","Apodemus agrarius","mammal","Rodentia","Muridae",15,"tavg",0.000949767736261865,0.000949768021844108,0.0833333333333333
"150","Apodemus draco","mammal","Rodentia","Muridae",6,"tavg",-0.762258749243724,-1.00158437244568,0.333333333333333
"151","Apodemus pallipes","mammal","Rodentia","Muridae",12,"tavg",0.234081359246178,0.238503091312653,0.111111111111111
"152","Apodemus peninsulae","mammal","Rodentia","Muridae",17,"tavg",0.669073518297659,0.809063865477398,0.0714285714285714
"153","Apodemus sylvaticus","mammal","Rodentia","Muridae",5,"tavg",0.741636393358034,0.954106242694651,0.5
"154","Apodemus uralensis","mammal","Rodentia","Muridae",12,"tavg",0.200369284344633,0.203117254862049,0.111111111111111
"155","Apus apus","bird","Apodiformes","Apodidae",9,"tavg",-0.385554152031377,-0.406567323487349,0.166666666666667
"156","Aquila chrysaetos","bird","Accipitriformes","Accipitridae",8,"tavg",-0.179643939286989,-0.181614729582263,0.2
"157","Arachnothera longirostra","bird","Passeriformes","Nectariniidae",14,"tavg",0.394500269151038,0.417118640796926,0.0909090909090909
"158","Aramides cajaneus","bird","Gruiformes","Rallidae",5,"tavg",0.508401721301073,0.560572015133775,0.5
"159","Aramus guarauna","bird","Gruiformes","Aramidae",5,"tavg",-0.0999999999999999,-0.100335347731075,0.5
"160","Aratinga leucophthalmus","bird","Psittaciformes","Psittacidae",5,"tavg",-0.3,-0.309519604203112,0.5
"161","Arborimus albipes","mammal","Rodentia","Cricetidae",23,"tavg",-0.030773972141138,-0.0307836923654436,0.05
"162","Arborimus longicaudus","mammal","Rodentia","Cricetidae",26,"tavg",0.0590534333211751,0.0591222231499951,0.0434782608695652
"163","Archilochus alexandri","bird","Apodiformes","Trochilidae",15,"tavg",0.0739236012970646,0.0740587012820691,0.0833333333333333
"164","Archilochus colubris","bird","Apodiformes","Trochilidae",106,"tavg",-0.0435235456727184,-0.0435510591541715,0.00970873786407767
"165","Ardea alba","bird","Pelecaniformes","Ardeidae",15,"tavg",-0.179671846476731,-0.181643567574692,0.0833333333333333
"166","Ardea herodias","bird","Pelecaniformes","Ardeidae",37,"tavg",0.282675942540519,0.290588026661336,0.0294117647058824
"167","Ardops nichollsi","mammal","Chiroptera","Phyllostomidae",10,"tavg",0.00877583881945821,0.00877606412129332,0.142857142857143
"168","Arenaria interpres","bird","Charadriiformes","Scolopacidae",12,"tavg",0.0469453036339744,0.0469798362915551,0.111111111111111
"169","Arenaria melanocephala","bird","Charadriiformes","Scolopacidae",5,"tavg",-0.541866538194688,-0.606794228142447,0.5
"170","Arremon aurantiirostris","bird","Passeriformes","Passerellidae",5,"tavg",0.915258333032077,1.55900018785408,0.5
"171","Arremon brunneinucha","bird","Passeriformes","Passerellidae",19,"tavg",0.280020266562717,0.287704063215138,0.0625
"172","Arremon flavirostris","bird","Passeriformes","Passerellidae",7,"tavg",0.194279517587335,0.196780741021003,0.25
"173","Arremon taciturnus","bird","Passeriformes","Passerellidae",8,"tavg",-0.740243693681236,-0.95101826407016,0.2
"174","Arremonops rufivirgatus","bird","Passeriformes","Passerellidae",6,"tavg",-0.604066883445022,-0.699526093032129,0.333333333333333
"175","Arses telescopthalmus","bird","Passeriformes","Monarchidae",12,"tavg",-0.238316061276891,-0.242988014749002,0.111111111111111
"176","Arthroleptis poecilonotus","amphibian","Anura","Arthroleptidae",7,"tavg",0.436765004435862,0.468226200363418,0.25
"177","Artibeus aequatorialis","mammal","Chiroptera","Phyllostomidae",13,"tavg",-0.0587716482299216,-0.0588394566627428,0.1
"178","Artibeus anderseni","mammal","Chiroptera","Phyllostomidae",5,"tavg",-0.332332826283511,-0.345448441518673,0.5
"179","Artibeus fimbriatus","mammal","Chiroptera","Phyllostomidae",10,"tavg",0.250522274058632,0.255969981868632,0.142857142857143
"180","Artibeus fraterculus","mammal","Chiroptera","Phyllostomidae",14,"tavg",-0.34545678905955,-0.360275625013337,0.0909090909090909
"181","Artibeus jamaicensis","mammal","Chiroptera","Phyllostomidae",78,"tavg",-0.195371923978041,-0.197916248052662,0.0133333333333333
"182","Artibeus lituratus","mammal","Chiroptera","Phyllostomidae",77,"tavg",-0.0623048732423092,-0.0623856819121597,0.0135135135135135
"183","Artibeus obscurus","mammal","Chiroptera","Phyllostomidae",13,"tavg",0.114647537706529,0.115153848019901,0.1
"184","Artibeus phaeotis","mammal","Chiroptera","Phyllostomidae",16,"tavg",0.183206264989805,0.185298304839772,0.0769230769230769
"185","Artibeus planirostris","mammal","Chiroptera","Phyllostomidae",15,"tavg",0.379291526800123,0.399231867790619,0.0833333333333333
"186","Artibeus schwartzi","mammal","Chiroptera","Phyllostomidae",12,"tavg",-0.338324581802492,-0.352199333852139,0.111111111111111
"187","Artibeus toltecus","mammal","Chiroptera","Phyllostomidae",14,"tavg",-0.176139539090585,-0.177995802548059,0.0909090909090909
"188","Artibeus watsoni","mammal","Chiroptera","Phyllostomidae",12,"tavg",-0.134158257013526,-0.134971941978334,0.111111111111111
"189","Arvicanthis niloticus","mammal","Rodentia","Muridae",6,"tavg",0.0784262126617355,0.0785875999386293,0.333333333333333
"190","Asio flammeus","bird","Strigiformes","Strigidae",43,"tavg",-0.506296360743621,-0.557736879526141,0.025
"191","Asio otus","bird","Strigiformes","Strigidae",57,"tavg",0.0822784713319661,0.082464897294368,0.0185185185185185
"192","Aspidoscelis tigris","reptile","Squamata","Teiidae",20,"tavg",-0.406634349395248,-0.431572161644177,0.0588235294117647
"193","Asthenes dorbignyi","bird","Passeriformes","Furnariidae",5,"tavg",-0.321470653838818,-0.333286398612802,0.5
"194","Asthenes pudibunda","bird","Passeriformes","Furnariidae",5,"tavg",-0.0163181085597451,-0.0163195571901411,0.5
"195","Athene cunicularia","bird","Strigiformes","Strigidae",43,"tavg",0.230139124814343,0.234336367314717,0.025
"196","Atlapetes albinucha","bird","Passeriformes","Passerellidae",6,"tavg",-0.185068198920555,-0.187225586831239,0.333333333333333
"197","Atlapetes latinuchus","bird","Passeriformes","Passerellidae",7,"tavg",-0.189402511560512,-0.191717376548735,0.25
"198","Attila spadiceus","bird","Passeriformes","Tyrannidae",12,"tavg",-0.0345758569887802,-0.0345896452428124,0.111111111111111
"199","Aulacorhynchus derbianus","bird","Piciformes","Ramphastidae",5,"tavg",-0.214412785091869,-0.21779222594436,0.5
"200","Aulacorhynchus prasinus","bird","Piciformes","Ramphastidae",15,"tavg",-0.322326519413572,-0.334241199499496,0.0833333333333333
"201","Aulacorhynchus sulcatus","bird","Piciformes","Ramphastidae",5,"tavg",0.3,0.309519604203112,0.5
"202","Auriparus flaviceps","bird","Passeriformes","Remizidae",12,"tavg",-0.295884388095266,-0.305003051042843,0.111111111111111
"203","Automolus ochrolaemus","bird","Passeriformes","Furnariidae",19,"tavg",0.0908856182733594,0.0911371102068695,0.0625
"204","Aythya affinis","bird","Anseriformes","Anatidae",17,"tavg",-0.381264574293204,-0.401538478771328,0.0714285714285714
"205","Aythya americana","bird","Anseriformes","Anatidae",17,"tavg",0.0468470662236511,0.0468813823561216,0.0714285714285714
"206","Aythya collaris","bird","Anseriformes","Anatidae",19,"tavg",0.129202038295924,0.129928256408092,0.0625
"207","Aythya marila","bird","Anseriformes","Anatidae",8,"tavg",-0.282967779158976,-0.290905236313506,0.2
"208","Aythya valisineria","bird","Anseriformes","Anatidae",14,"tavg",0.145214876535129,0.146248721855686,0.0909090909090909
"209","Baeolophus atricristatus","bird","Passeriformes","Paridae",12,"tavg",-0.0548010918934323,-0.0548560497655637,0.111111111111111
"210","Baeolophus bicolor","bird","Passeriformes","Paridae",75,"tavg",-0.363255637529422,-0.380631354468291,0.0138888888888889
"211","Baeolophus inornatus","bird","Passeriformes","Paridae",9,"tavg",0.126244399415616,0.126921566393009,0.166666666666667
"212","Baeolophus ridgwayi","bird","Passeriformes","Paridae",13,"tavg",0.467678381226303,0.507094622784675,0.1
"213","Baillonius bailloni","bird","Piciformes","Ramphastidae",5,"tavg",-0.2,-0.202732554054082,0.5
"214","Baiomys taylori","mammal","Rodentia","Cricetidae",27,"tavg",-0.202052576782052,-0.20487157281716,0.0416666666666667
"215","Balantiopteryx plicata","mammal","Chiroptera","Emballonuridae",9,"tavg",0.103725169648703,0.104099579532506,0.166666666666667
"216","Barnardius zonarius","bird","Psittaciformes","Psittacidae",12,"tavg",-0.697321420151324,-0.862067601164262,0.111111111111111
"217","Bartramia longicauda","bird","Charadriiformes","Scolopacidae",16,"tavg",-0.385887020312654,-0.406958372137914,0.0769230769230769
"218","Basileuterus belli","bird","Passeriformes","Parulidae",9,"tavg",-0.472097181591966,-0.512765553246175,0.166666666666667
"219","Basileuterus culicivorus","bird","Passeriformes","Parulidae",17,"tavg",0.349843043659384,0.365264897841924,0.0714285714285714
"220","Basileuterus lachrymosus","bird","Passeriformes","Parulidae",8,"tavg",0.481754838504898,0.525266975513201,0.2
"221","Basileuterus rivularis","bird","Passeriformes","Parulidae",10,"tavg",-0.498344415465464,-0.547101128437215,0.142857142857143
"222","Basileuterus rufifrons","bird","Passeriformes","Parulidae",12,"tavg",0.0481190872507768,0.0481562779906818,0.111111111111111
"223","Basileuterus tristriatus","bird","Passeriformes","Parulidae",10,"tavg",-0.159144478509411,-0.160508820983954,0.142857142857143
"224","Bassariscus astutus","mammal","Carnivora","Procyonidae",23,"tavg",0.133006850416431,0.133799615905747,0.05
"225","Batis capensis","bird","Passeriformes","Platysteiridae",5,"tavg",0.863945888365619,1.30869913935495,0.5
