"speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","SPID"
"Batrachoseps attenuatus","amphibian","Caudata","Plethodontidae",27,"npp",-0.409374497287935,-0.434859558299572,0.0416666666666667,"SP8"
"Anaxyrus americanus","amphibian","Anura","Bufonidae",5,"npp",-0.565036432900855,-0.640201054363033,0.5,"SP9"
"Anaxyrus boreas","amphibian","Anura","Bufonidae",11,"npp",0.124114605888095,0.124757867025751,0.125,"SP10"
"Cryptobranchus alleganiensis","amphibian","Caudata","Cryptobranchidae",11,"npp",0.180242574155108,0.182233396648394,0.125,"SP11"
"Ensatina eschscholtzii","amphibian","Caudata","Plethodontidae",13,"npp",-0.33574917228505,-0.349293880222985,0.1,"SP12"
"Gyrinophilus porphyriticus","amphibian","Caudata","Plethodontidae",5,"npp",-0.832176298408984,-1.19517287012453,0.5,"SP13"
"Pseudacris cadaverina","amphibian","Anura","Hylidae",7,"npp",0.325943204785162,0.338282482290956,0.25,"SP14"
"Pseudacris regilla","amphibian","Anura","Hylidae",29,"npp",0.381995063427973,0.4023934934328,0.0384615384615385,"SP15"
"Amnirana albolabris","amphibian","Anura","Ranidae",5,"npp",-0.338990492137641,-0.352951510570489,0.5,"SP16"
"Hyperolius ocellatus","amphibian","Anura","Hyperoliidae",7,"npp",-0.458045352062011,-0.494834847602002,0.25,"SP17"
"Hyperolius riggenbachi","amphibian","Anura","Hyperoliidae",6,"npp",0.501744997210976,0.551635521327749,0.333333333333333,"SP18"
"Leptopelis aubryi","amphibian","Anura","Arthroleptidae",7,"npp",0.483625940143353,0.527706452500596,0.25,"SP19"
"Leptopelis boulengeri","amphibian","Anura","Arthroleptidae",5,"npp",0.523246249642144,0.580799458045624,0.5,"SP20"
"Leptopelis calcaratus","amphibian","Anura","Arthroleptidae",7,"npp",0.00409659308613649,0.00409661600281129,0.25,"SP21"
"Leptopelis notatus","amphibian","Anura","Arthroleptidae",6,"npp",-0.852154113556196,-1.26396710149641,0.333333333333333,"SP22"
"Leptopelis rufus","amphibian","Anura","Arthroleptidae",5,"npp",0.218527987926993,0.222109752916075,0.5,"SP23"
"Limnonectes kuhlii","amphibian","Anura","Dicroglossidae",7,"npp",-0.0779147454767392,-0.078072988143054,0.25,"SP24"
"Notophthalmus viridescens","amphibian","Caudata","Salamandridae",8,"npp",-0.426005790326013,-0.455006676455235,0.2,"SP25"
"Plethodon cinereus","amphibian","Caudata","Plethodontidae",9,"npp",0.0421919590015593,0.0422170219423218,0.166666666666667,"SP26"
"Polypedates megacephalus","amphibian","Anura","Rhacophoridae",6,"npp",0.187273694480986,0.189510269693797,0.333333333333333,"SP27"
"Rana aurora","amphibian","Anura","Ranidae",8,"npp",-0.580813757887877,-0.66368985849691,0.2,"SP28"
"Rana boylii","amphibian","Anura","Ranidae",21,"npp",0.530360880243334,0.590647143273639,0.0555555555555556,"SP29"
"Rana catesbeiana","amphibian","Anura","Ranidae",24,"npp",-0.215079595606517,-0.21849127372587,0.0476190476190476,"SP30"
"Fejervarya limnocharis","amphibian","Anura","Dicroglossidae",8,"npp",-0.516294900785094,-0.571274825496393,0.2,"SP31"
"Rana sylvatica","amphibian","Anura","Ranidae",9,"npp",-0.804794717218319,-1.11207519859137,0.166666666666667,"SP32"
"Rhacophorus maximus","amphibian","Anura","Rhacophoridae",5,"npp",0.92428850975652,1.6176908187915,0.5,"SP33"
"Rhacophorus rhodopus","amphibian","Anura","Rhacophoridae",5,"npp",-0.57400228138212,-0.653471443747603,0.5,"SP34"
"Kurixalus verrucosus","amphibian","Anura","Rhacophoridae",8,"npp",-0.340573881470774,-0.354741565813477,0.2,"SP35"
"Taricha torosa","amphibian","Caudata","Salamandridae",13,"npp",0.514139156476728,0.568340045100556,0.1,"SP36"
"Afrixalus fulvovittatus","amphibian","Anura","Hyperoliidae",11,"npp.sd",-0.352671043162075,-0.368490933908017,0.125,"SP1"
"Afrixalus laevis","amphibian","Anura","Hyperoliidae",5,"npp.sd",-0.681844362683903,-0.832552808287616,0.5,"SP2"
"Afrixalus paradorsalis","amphibian","Anura","Hyperoliidae",8,"npp.sd",0.379418443386935,0.399380119279942,0.2,"SP3"
"Ambystoma californiense","amphibian","Caudata","Ambystomatidae",9,"npp.sd",0.0536048440597886,0.0536562769003883,0.166666666666667,"SP4"
"Amolops marmoratus","amphibian","Anura","Ranidae",5,"npp.sd",-0.801079967394468,-1.10161942404679,0.5,"SP5"
"Aneides lugubris","amphibian","Caudata","Plethodontidae",8,"npp.sd",-0.214067400406954,-0.217430225880338,0.2,"SP6"
"Arthroleptis poecilonotus","amphibian","Anura","Arthroleptidae",7,"npp.sd",0.789530326960774,1.07018345278094,0.25,"SP7"
"Batrachoseps attenuatus","amphibian","Caudata","Plethodontidae",27,"npp.sd",-0.379225817250738,-0.399155118900279,0.0416666666666667,"SP8"
"Anaxyrus americanus","amphibian","Anura","Bufonidae",5,"npp.sd",-0.565036432900855,-0.640201054363033,0.5,"SP9"
"Anaxyrus boreas","amphibian","Anura","Bufonidae",11,"npp.sd",0.455995044217906,0.492243234173171,0.125,"SP10"
"Cryptobranchus alleganiensis","amphibian","Caudata","Cryptobranchidae",11,"npp.sd",0.400658422595515,0.424433012614408,0.125,"SP11"
"Ensatina eschscholtzii","amphibian","Caudata","Plethodontidae",13,"npp.sd",-0.46407892741864,-0.502497353828951,0.1,"SP12"
"Gyrinophilus porphyriticus","amphibian","Caudata","Plethodontidae",5,"npp.sd",-0.706633627497837,-0.880427912149254,0.5,"SP13"
"Pseudacris cadaverina","amphibian","Anura","Hylidae",7,"npp.sd",0.325943204785162,0.338282482290956,0.25,"SP14"
"Pseudacris regilla","amphibian","Anura","Hylidae",29,"npp.sd",0.572605834581306,0.651391299122499,0.0384615384615385,"SP15"
"Amnirana albolabris","amphibian","Anura","Ranidae",5,"npp.sd",-0.0836864050541667,-0.0838825936348262,0.5,"SP16"
"Hyperolius ocellatus","amphibian","Anura","Hyperoliidae",7,"npp.sd",-0.67203825705355,-0.814450855086338,0.25,"SP17"
"Hyperolius riggenbachi","amphibian","Anura","Hyperoliidae",6,"npp.sd",0.573974061802942,0.653429358739879,0.333333333333333,"SP18"
"Leptopelis aubryi","amphibian","Anura","Arthroleptidae",7,"npp.sd",-0.0890491588986333,-0.0892856644503029,0.25,"SP19"
"Leptopelis boulengeri","amphibian","Anura","Arthroleptidae",5,"npp.sd",0.087611671693518,0.087836873138075,0.5,"SP20"
"Leptopelis calcaratus","amphibian","Anura","Arthroleptidae",7,"npp.sd",0.0177820983202123,0.0177839729269466,0.25,"SP21"
"Leptopelis notatus","amphibian","Anura","Arthroleptidae",6,"npp.sd",-0.581343295748822,-0.664489344750442,0.333333333333333,"SP22"
"Leptopelis rufus","amphibian","Anura","Arthroleptidae",5,"npp.sd",0.137400249545589,0.138274829676839,0.5,"SP23"
"Limnonectes kuhlii","amphibian","Anura","Dicroglossidae",7,"npp.sd",-0.057531930032156,-0.057595531809176,0.25,"SP24"
"Notophthalmus viridescens","amphibian","Caudata","Salamandridae",8,"npp.sd",-0.495839042941025,-0.543773492399005,0.2,"SP25"
"Plethodon cinereus","amphibian","Caudata","Plethodontidae",9,"npp.sd",0.0421919590015593,0.0422170219423218,0.166666666666667,"SP26"
"Polypedates megacephalus","amphibian","Anura","Rhacophoridae",6,"npp.sd",0.396881799541165,0.41994227364575,0.333333333333333,"SP27"
"Rana aurora","amphibian","Anura","Ranidae",8,"npp.sd",-0.420717469824732,-0.448563481284958,0.2,"SP28"
"Rana boylii","amphibian","Anura","Ranidae",21,"npp.sd",0.518148671979042,0.573805637079278,0.0555555555555556,"SP29"
"Rana catesbeiana","amphibian","Anura","Ranidae",24,"npp.sd",-0.297735819971613,-0.307033344980942,0.0476190476190476,"SP30"
"Fejervarya limnocharis","amphibian","Anura","Dicroglossidae",8,"npp.sd",-0.41980703867617,-0.447457756478515,0.2,"SP31"
"Rana sylvatica","amphibian","Anura","Ranidae",9,"npp.sd",-0.798902957133765,-1.09557234897297,0.166666666666667,"SP32"
"Rhacophorus maximus","amphibian","Anura","Rhacophoridae",5,"npp.sd",-0.152270779255172,-0.153464297715898,0.5,"SP33"
"Rhacophorus rhodopus","amphibian","Anura","Rhacophoridae",5,"npp.sd",-0.751122658518099,-0.975526104890206,0.5,"SP34"
"Kurixalus verrucosus","amphibian","Anura","Rhacophoridae",8,"npp.sd",-0.44335122608477,-0.476394227759104,0.2,"SP35"
"Taricha torosa","amphibian","Caudata","Salamandridae",13,"npp.sd",0.219323040561401,0.222944829470412,0.1,"SP36"
"Agama agama","reptile","Squamata","Agamidae",11,"npp",0.485329174324881,0.529932085012792,0.125,"SP1"
"Agama lebretoni","reptile","Squamata","Agamidae",5,"npp",-0.214046674339758,-0.217408504531938,0.5,"SP2"
"Ahaetulla fronticincta","reptile","Squamata","Colubridae",12,"npp",0.108438011716463,0.108866069585265,0.111111111111111,"SP3"
"Ahaetulla nasuta","reptile","Squamata","Colubridae",20,"npp",0.181194770430746,0.183217740943566,0.0588235294117647,"SP4"
"Ahaetulla prasina","reptile","Squamata","Colubridae",22,"npp",-0.433396981716035,-0.464071751741813,0.0526315789473684,"SP5"
"Amphiesma stolatum","reptile","Squamata","Colubridae",13,"npp",-0.052361880410705,-0.0524098139725764,0.1,"SP6"
"Anolis carolinensis","reptile","Squamata","Dactyloidae",7,"npp",-0.498613700916381,-0.547459450168332,0.25,"SP7"
"Aspidoscelis tigris","reptile","Squamata","Teiidae",20,"npp",0.324927445943996,0.337146403278202,0.0588235294117647,"SP8"
"Bitia hydroides","reptile","Squamata","Homalopsidae",6,"npp",-0.505169114054302,-0.556222239685897,0.333333333333333,"SP9"
"Boiga cyanea","reptile","Squamata","Colubridae",7,"npp",0.0181818181818182,0.0181838220854374,0.25,"SP10"
"Boiga irregularis","reptile","Squamata","Colubridae",8,"npp",-0.227113164955121,-0.231143514330463,0.2,"SP11"
"Boiga multomaculata","reptile","Squamata","Colubridae",12,"npp",0.416649617837502,0.443630967161824,0.111111111111111,"SP12"
"Boiga ochracea","reptile","Squamata","Colubridae",10,"npp",0.0181818181818183,0.0181838220854375,0.142857142857143,"SP13"
"Callisaurus draconoides","reptile","Squamata","Phrynosomatidae",11,"npp",-0.0896393607881137,-0.0898806154928882,0.125,"SP14"
"Cerberus rynchops","reptile","Squamata","Homalopsidae",11,"npp",0.499443937920174,0.54856500283899,0.125,"SP15"
"Charina bottae","reptile","Squamata","Boidae",10,"npp",-0.155284732445226,-0.156551252536389,0.142857142857143,"SP16"
"Chrysopelea ornata","reptile","Squamata","Colubridae",14,"npp",-0.107384694622425,-0.10780034214101,0.0909090909090909,"SP17"
"Coluber constrictor","reptile","Squamata","Colubridae",16,"npp",-0.0948407167268513,-0.0951266178317123,0.0769230769230769,"SP18"
"Contia tenuis","reptile","Squamata","Dipsadidae",8,"npp",0.522235197081916,0.57940824539026,0.2,"SP19"
"Crotalus atrox","reptile","Squamata","Viperidae",15,"npp",-0.59460370315073,-0.684757711478387,0.0833333333333333,"SP20"
"Crotalus mitchellii","reptile","Squamata","Viperidae",5,"npp",0.804251901265801,1.11053635181159,0.5,"SP21"
"Crotalus scutulatus","reptile","Squamata","Viperidae",12,"npp",0.233713431691446,0.238113870249878,0.111111111111111,"SP22"
"Crotalus viridis","reptile","Squamata","Viperidae",24,"npp",-0.360867252782906,-0.377882643219369,0.0476190476190476,"SP23"
"Crotaphytus bicinctores","reptile","Squamata","Crotaphytidae",6,"npp",-0.603962408484924,-0.699361608613852,0.333333333333333,"SP24"
"Cylindrophis ruffus","reptile","Squamata","Cylindrophiidae",5,"npp",0.775,1.03272764985255,0.5,"SP25"
"Dendrelaphis cyanochloris","reptile","Squamata","Colubridae",6,"npp",-0.581353435972874,-0.664504661520977,0.333333333333333,"SP26"
"Dendrelaphis pictus","reptile","Squamata","Colubridae",9,"npp",-0.172066628432095,-0.17379556834626,0.166666666666667,"SP27"
"Dendrelaphis subocularis","reptile","Squamata","Colubridae",5,"npp",-0.0999999999999999,-0.100335347731075,0.5,"SP28"
"Diadophis punctatus","reptile","Squamata","Colubridae",20,"npp",0.0757075275185176,0.0758526694914575,0.0588235294117647,"SP29"
"Lycodon septentrionalis","reptile","Squamata","Colubridae",7,"npp",-0.521850790514506,-0.578879830478664,0.25,"SP30"
"Dipsosaurus dorsalis","reptile","Squamata","Iguanidae",9,"npp",-0.398496819791845,-0.421860708047937,0.166666666666667,"SP31"
"Elaphe taeniura","reptile","Squamata","Colubridae",6,"npp",0.423942131546134,0.452488165735874,0.333333333333333,"SP32"
"Elgaria coerulea","reptile","Squamata","Anguidae",7,"npp",-0.604729630605789,-0.700570278345975,0.25,"SP33"
"Elgaria multicarinata","reptile","Squamata","Anguidae",23,"npp",-0.0371969507340587,-0.0372141203866582,0.05,"SP34"
"Plestiodon skiltonianus","reptile","Squamata","Scincidae",9,"npp",0.101273936708367,0.101622318805494,0.166666666666667,"SP35"
"Gambelia wislizenii","reptile","Squamata","Crotaphytidae",8,"npp",-0.674526385987046,-0.819002127109662,0.2,"SP36"
"Gerarda prevostiana","reptile","Squamata","Homalopsidae",6,"npp",0.6,0.693147180559945,0.333333333333333,"SP37"
"Hemidactylus mabouia","reptile","Squamata","Gekkonidae",16,"npp",0.0436785479748046,0.0437063566851417,0.0769230769230769,"SP38"
"Hypsiglena torquata","reptile","Squamata","Dipsadidae",8,"npp",-0.270768099822342,-0.27769250548993,0.2,"SP39"
"Lampropeltis getula","reptile","Squamata","Colubridae",15,"npp",-0.232142857142857,-0.236453194451848,0.0833333333333333,"SP40"
"Boaedon lineatus","reptile","Squamata","Lamprophiidae",7,"npp",-0.491041353212926,-0.537431640191633,0.25,"SP41"
"Lycodon aulicus","reptile","Squamata","Colubridae",30,"npp",-0.00497300022232611,-0.00497304121824497,0.037037037037037,"SP42"
"Lycodon zawi","reptile","Squamata","Colubridae",5,"npp",0.9,1.47221948958322,0.5,"SP43"
"Masticophis flagellum","reptile","Squamata","Colubridae",7,"npp",0.321428571428571,0.333239466738892,0.25,"SP44"
"Masticophis lateralis","reptile","Squamata","Colubridae",11,"npp",0.208513838956005,0.211617128363422,0.125,"SP45"
"Masticophis taeniatus","reptile","Squamata","Colubridae",5,"npp",0.2,0.202732554054082,0.5,"SP46"
"Naja kaouthia","reptile","Squamata","Elapidae",5,"npp",-0.476223595842328,-0.518088798876774,0.5,"SP47"
"Nerodia sipedon","reptile","Squamata","Colubridae",7,"npp",-0.367082554664808,-0.385047115248051,0.25,"SP48"
"Oligodon albocinctus","reptile","Squamata","Colubridae",5,"npp",0.8,1.09861228866811,0.5,"SP49"
"Oligodon cyclurus","reptile","Squamata","Colubridae",9,"npp",0.0740414200310188,0.07417716843569,0.166666666666667,"SP50"
"Pantherophis obsoletus","reptile","Squamata","Colubridae",21,"npp",-0.0181325738884638,-0.0181345615516747,0.0555555555555556,"SP51"
"Pareas carinatus","reptile","Squamata","Pareatidae",5,"npp",-0.877485334682849,-1.36472891641305,0.5,"SP52"
"Pituophis melanoleucus","reptile","Squamata","Colubridae",29,"npp",0.109169822121466,0.109606647199194,0.0384615384615385,"SP53"
"Protobothrops jerdonii","reptile","Squamata","Viperidae",7,"npp",-0.214285714285714,-0.217659035628923,0.25,"SP54"
"Protobothrops mucrosquamatus","reptile","Squamata","Viperidae",5,"npp",0.0512989176042578,0.0513439878397489,0.5,"SP55"
"Psammodynastes pulverulentus","reptile","Squamata","Lamprophiidae",21,"npp",0.618950536411879,0.723302104440962,0.0555555555555556,"SP56"
"Psammophis condanarus","reptile","Squamata","Psammophiidae",6,"npp",0.350894424451589,0.366463405510044,0.333333333333333,"SP57"
"Pseudoxenodon macrops","reptile","Squamata","Pseudoxenodontidae",5,"npp",0.430500543321235,0.460510931723725,0.5,"SP58"
"Ptyas korros","reptile","Squamata","Colubridae",6,"npp",-0.553890514920897,-0.623976335296192,0.333333333333333,"SP59"
"Ptyas mucosa","reptile","Squamata","Colubridae",5,"npp",0.656796951538818,0.787159610036673,0.5,"SP60"
"Indotyphlops braminus","reptile","Squamata","Typhlopidae",9,"npp",-0.00307049536387904,-0.00307050501341741,0.166666666666667,"SP61"
"Rhabdophis himalayanus","reptile","Squamata","Natricidae",7,"npp",0.51698638796951,0.572218085401,0.25,"SP62"
"Rhabdophis subminiatus","reptile","Squamata","Natricidae",13,"npp",0.0639773630698726,0.0640648667127208,0.1,"SP63"
"Rhinocheilus lecontei","reptile","Squamata","Colubridae",6,"npp",-0.257142857142857,-0.26304654794839,0.333333333333333,"SP64"
"Sceloporus magister","reptile","Squamata","Phrynosomatidae",5,"npp",-0.534477091061502,-0.596391817786395,0.5,"SP65"
"Sceloporus occidentalis","reptile","Squamata","Phrynosomatidae",24,"npp",-0.147950522116894,-0.149044439486742,0.0476190476190476,"SP66"
"Sceloporus undulatus","reptile","Squamata","Phrynosomatidae",6,"npp",0.651561894700225,0.778008055363533,0.333333333333333,"SP67"
"Storeria occipitomaculata","reptile","Squamata","Colubridae",5,"npp",0.5,0.549306144334055,0.5,"SP68"
"Thamnophis atratus","reptile","Squamata","Colubridae",28,"npp",-0.264974901303403,-0.271451456790787,0.04,"SP69"
"Thamnophis couchii","reptile","Squamata","Colubridae",23,"npp",0.589945589869562,0.677582607946121,0.05,"SP70"
"Thamnophis elegans","reptile","Squamata","Colubridae",48,"npp",-0.265040005074785,-0.271521478084128,0.0222222222222222,"SP71"
"Thamnophis hammondii","reptile","Squamata","Colubridae",8,"npp",-0.188592830644161,-0.190877702315613,0.2,"SP72"
"Thamnophis proximus","reptile","Squamata","Colubridae",7,"npp",-0.0357142857142857,-0.0357294819910724,0.25,"SP73"
"Thamnophis sirtalis","reptile","Squamata","Colubridae",41,"npp",-0.0207370867575772,-0.0207400600255589,0.0263157894736842,"SP74"
"Trachylepis maculilabris","reptile","Squamata","Scincidae",5,"npp",-0.0466252404120156,-0.0466590709558829,0.5,"SP75"
"Trimeresurus albolabris","reptile","Squamata","Viperidae",18,"npp",0.424811389991471,0.453548360812204,0.0666666666666667,"SP76"
"Trimeresurus erythrurus","reptile","Squamata","Viperidae",11,"npp",-0.479035398451228,-0.521731650153939,0.125,"SP77"
"Trimeresurus purpureomaculatus","reptile","Squamata","Viperidae",9,"npp",-0.322407422603809,-0.33433148522421,0.166666666666667,"SP78"
"Uta stansburiana","reptile","Squamata","Phrynosomatidae",12,"npp",0.104135518231999,0.104514408908178,0.111111111111111,"SP79"
"Xenochrophis piscator","reptile","Squamata","Colubridae",41,"npp",-0.0538590781114468,-0.0539112470838805,0.0263157894736842,"SP80"
"Xenopeltis unicolor","reptile","Squamata","Xenopeltidae",7,"npp",0.0150177967650781,0.0150189259269057,0.25,"SP81"
"Agama agama","reptile","Squamata","Agamidae",11,"npp.sd",-0.0445339341489514,-0.044563410189989,0.125,"SP1"
"Agama lebretoni","reptile","Squamata","Agamidae",5,"npp.sd",0.0263992876934695,0.0264054230107421,0.5,"SP2"
"Ahaetulla fronticincta","reptile","Squamata","Colubridae",12,"npp.sd",0.358019550763136,0.374612427211812,0.111111111111111,"SP3"
"Ahaetulla nasuta","reptile","Squamata","Colubridae",20,"npp.sd",0.30498951715562,0.315011679106611,0.0588235294117647,"SP4"
"Ahaetulla prasina","reptile","Squamata","Colubridae",22,"npp.sd",-0.252725434355599,-0.258322064457882,0.0526315789473684,"SP5"
"Amphiesma stolatum","reptile","Squamata","Colubridae",13,"npp.sd",0.0118691586707883,0.0118697160814402,0.1,"SP6"
"Anolis carolinensis","reptile","Squamata","Dactyloidae",7,"npp.sd",-0.454568828461368,-0.49044408777358,0.25,"SP7"
"Aspidoscelis tigris","reptile","Squamata","Teiidae",20,"npp.sd",-0.100983058406057,-0.101328434958857,0.0588235294117647,"SP8"
"Bitia hydroides","reptile","Squamata","Homalopsidae",6,"npp.sd",-0.0887928442422532,-0.0890273069742335,0.333333333333333,"SP9"
"Boiga cyanea","reptile","Squamata","Colubridae",7,"npp.sd",0.0181818181818182,0.0181838220854374,0.25,"SP10"
"Boiga irregularis","reptile","Squamata","Colubridae",8,"npp.sd",-0.271649793258211,-0.278644200241321,0.2,"SP11"
"Boiga multomaculata","reptile","Squamata","Colubridae",12,"npp.sd",0.285048099801592,0.293168080199823,0.111111111111111,"SP12"
"Boiga ochracea","reptile","Squamata","Colubridae",10,"npp.sd",-0.333333333333333,-0.346573590279973,0.142857142857143,"SP13"
"Callisaurus draconoides","reptile","Squamata","Phrynosomatidae",11,"npp.sd",-0.280792314171119,-0.288541995562253,0.125,"SP14"
"Cerberus rynchops","reptile","Squamata","Homalopsidae",11,"npp.sd",0.432463248380552,0.462922642428715,0.125,"SP15"
"Charina bottae","reptile","Squamata","Boidae",10,"npp.sd",-0.166324144335387,-0.167883830298117,0.142857142857143,"SP16"
"Chrysopelea ornata","reptile","Squamata","Colubridae",14,"npp.sd",-0.0572377123777663,-0.0573003420876496,0.0909090909090909,"SP17"
"Coluber constrictor","reptile","Squamata","Colubridae",16,"npp.sd",-0.329783512828613,-0.342585330140959,0.0769230769230769,"SP18"
"Contia tenuis","reptile","Squamata","Dipsadidae",8,"npp.sd",0.655404553141516,0.78471479487499,0.2,"SP19"
"Crotalus atrox","reptile","Squamata","Viperidae",15,"npp.sd",-0.310642465583241,-0.321256336708584,0.0833333333333333,"SP20"
"Crotalus mitchellii","reptile","Squamata","Viperidae",5,"npp.sd",0.853491813588197,1.2688726495048,0.5,"SP21"
"Crotalus scutulatus","reptile","Squamata","Viperidae",12,"npp.sd",0.66910522549032,0.809121272825336,0.111111111111111,"SP22"
"Crotalus viridis","reptile","Squamata","Viperidae",24,"npp.sd",-0.197115460975967,-0.19972962147145,0.0476190476190476,"SP23"
"Crotaphytus bicinctores","reptile","Squamata","Crotaphytidae",6,"npp.sd",-0.380698780374208,-0.400876617639529,0.333333333333333,"SP24"
"Cylindrophis ruffus","reptile","Squamata","Cylindrophiidae",5,"npp.sd",0.475,0.516507503091148,0.5,"SP25"
"Dendrelaphis cyanochloris","reptile","Squamata","Colubridae",6,"npp.sd",-0.513146938915252,-0.566992235863609,0.333333333333333,"SP26"
