"","speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","Species_ph"
"13118","Plethodon cinereus","amphibian","Caudata","Plethodontidae",9,"npp",0.0421919590015593,0.0422170219423218,0.166666666666667,"Plethodon_cinereus"
"13151","Polypedates megacephalus","amphibian","Anura","Rhacophoridae",6,"npp",0.187273694480986,0.189510269693797,0.333333333333333,"Polypedates_megacephalus"
"13232","Rana aurora","amphibian","Anura","Ranidae",8,"npp",-0.580813757887877,-0.66368985849691,0.2,"Rana_aurora"
"13233","Rana boylii","amphibian","Anura","Ranidae",21,"npp",0.530360880243334,0.590647143273639,0.0555555555555556,"Rana_boylii"
"13234","Rana catesbeiana","amphibian","Anura","Ranidae",24,"npp",-0.215079595606517,-0.21849127372587,0.0476190476190476,"Rana_catesbeiana"
"13235","Rana limnocharis","amphibian","Anura","Dicroglossidae",8,"npp",-0.516294900785094,-0.571274825496393,0.2,"Rana_limnocharis"
"13236","Rana sylvatica","amphibian","Anura","Ranidae",9,"npp",-0.804794717218319,-1.11207519859137,0.166666666666667,"Rana_sylvatica"
"13260","Rhacophorus maximus","amphibian","Anura","Rhacophoridae",5,"npp",0.92428850975652,1.6176908187915,0.5,"Rhacophorus_maximus"
"13261","Rhacophorus rhodopus","amphibian","Anura","Rhacophoridae",5,"npp",-0.57400228138212,-0.653471443747603,0.5,"Rhacophorus_rhodopus"
"13262","Rhacophorus verrucosus","amphibian","Anura","Rhacophoridae",8,"npp",-0.340573881470774,-0.354741565813477,0.2,"Rhacophorus_verrucosus"
"13567","Taricha torosa","amphibian","Caudata","Salamandridae",13,"npp",0.514139156476728,0.568340045100556,0.1,"Taricha_torosa"
"13819","Afrixalus fulvovittatus","amphibian","Anura","Hyperoliidae",11,"npp.sd",-0.352671043162075,-0.368490933908017,0.125,"Afrixalus_fulvovittatus"
"13820","Afrixalus laevis","amphibian","Anura","Hyperoliidae",5,"npp.sd",-0.681844362683903,-0.832552808287616,0.5,"Afrixalus_laevis"
"13821","Afrixalus paradorsalis","amphibian","Anura","Hyperoliidae",8,"npp.sd",0.379418443386935,0.399380119279942,0.2,"Afrixalus_paradorsalis"
"13876","Ambystoma californiense","amphibian","Caudata","Ambystomatidae",9,"npp.sd",0.0536048440597886,0.0536562769003883,0.166666666666667,"Ambystoma_californiense"
"13886","Amolops afghanus","amphibian","Anura","Ranidae",5,"npp.sd",-0.801079967394468,-1.10161942404679,0.5,"Amolops_afghanus"
"13907","Aneides lugubris","amphibian","Caudata","Plethodontidae",8,"npp.sd",-0.214067400406954,-0.217430225880338,0.2,"Aneides_lugubris"
"13965","Arthroleptis poecilonotus","amphibian","Anura","Arthroleptidae",7,"npp.sd",0.789530326960774,1.07018345278094,0.25,"Arthroleptis_poecilonotus"
"14016","Batrachoseps attenuatus","amphibian","Caudata","Plethodontidae",27,"npp.sd",-0.379225817250738,-0.399155118900279,0.0416666666666667,"Batrachoseps_attenuatus"
"14044","Bufo americanus","amphibian","Anura","Bufonidae",5,"npp.sd",-0.565036432900855,-0.640201054363033,0.5,"Bufo_americanus"
"14045","Bufo boreas","amphibian","Anura","Bufonidae",11,"npp.sd",0.455995044217906,0.492243234173171,0.125,"Bufo_boreas"
"14341","Cryptobranchus alleganiensis","amphibian","Caudata","Cryptobranchidae",11,"npp.sd",0.400658422595515,0.424433012614408,0.125,"Cryptobranchus_alleganiensis"
"14495","Ensatina eschscholtzii","amphibian","Caudata","Plethodontidae",13,"npp.sd",-0.46407892741864,-0.502497353828951,0.1,"Ensatina_eschscholtzii"
"14616","Gyrinophilus porphyriticus","amphibian","Caudata","Plethodontidae",5,"npp.sd",-0.706633627497837,-0.880427912149254,0.5,"Gyrinophilus_porphyriticus"
"14664","Hyla cadaverina","amphibian","Anura","Hylidae",7,"npp.sd",0.325943204785162,0.338282482290956,0.25,"Hyla_cadaverina"
"14665","Hyla regilla","amphibian","Anura","Hylidae",29,"npp.sd",0.572605834581306,0.651391299122499,0.0384615384615385,"Hyla_regilla"
"14666","Hylarana albolabris","amphibian","Anura","Ranidae",5,"npp.sd",-0.0836864050541667,-0.0838825936348262,0.5,"Hylarana_albolabris"
"14677","Hyperolius ocellatus","amphibian","Anura","Hyperoliidae",7,"npp.sd",-0.67203825705355,-0.814450855086338,0.25,"Hyperolius_ocellatus"
"14678","Hyperolius riggenbachi","amphibian","Anura","Hyperoliidae",6,"npp.sd",0.573974061802942,0.653429358739879,0.333333333333333,"Hyperolius_riggenbachi"
"14772","Leptopelis aubryi","amphibian","Anura","Arthroleptidae",7,"npp.sd",-0.0890491588986333,-0.0892856644503029,0.25,"Leptopelis_aubryi"
"14773","Leptopelis boulengeri","amphibian","Anura","Arthroleptidae",5,"npp.sd",0.087611671693518,0.087836873138075,0.5,"Leptopelis_boulengeri"
"14774","Leptopelis calcaratus","amphibian","Anura","Arthroleptidae",7,"npp.sd",0.0177820983202123,0.0177839729269466,0.25,"Leptopelis_calcaratus"
"14775","Leptopelis notatus","amphibian","Anura","Arthroleptidae",6,"npp.sd",-0.581343295748822,-0.664489344750442,0.333333333333333,"Leptopelis_notatus"
"14776","Leptopelis rufus","amphibian","Anura","Arthroleptidae",5,"npp.sd",0.137400249545589,0.138274829676839,0.5,"Leptopelis_rufus"
"14799","Limnonectes kuhlii","amphibian","Anura","Dicroglossidae",7,"npp.sd",-0.057531930032156,-0.057595531809176,0.25,"Limnonectes_kuhlii"
"15116","Notophthalmus viridescens","amphibian","Caudata","Salamandridae",8,"npp.sd",-0.495839042941025,-0.543773492399005,0.2,"Notophthalmus_viridescens"
"15416","Plethodon cinereus","amphibian","Caudata","Plethodontidae",9,"npp.sd",0.0421919590015593,0.0422170219423218,0.166666666666667,"Plethodon_cinereus"
"15449","Polypedates megacephalus","amphibian","Anura","Rhacophoridae",6,"npp.sd",0.396881799541165,0.41994227364575,0.333333333333333,"Polypedates_megacephalus"
"15530","Rana aurora","amphibian","Anura","Ranidae",8,"npp.sd",-0.420717469824732,-0.448563481284958,0.2,"Rana_aurora"
"15531","Rana boylii","amphibian","Anura","Ranidae",21,"npp.sd",0.518148671979042,0.573805637079278,0.0555555555555556,"Rana_boylii"
"15532","Rana catesbeiana","amphibian","Anura","Ranidae",24,"npp.sd",-0.297735819971613,-0.307033344980942,0.0476190476190476,"Rana_catesbeiana"
"15533","Rana limnocharis","amphibian","Anura","Dicroglossidae",8,"npp.sd",-0.41980703867617,-0.447457756478515,0.2,"Rana_limnocharis"
"15534","Rana sylvatica","amphibian","Anura","Ranidae",9,"npp.sd",-0.798902957133765,-1.09557234897297,0.166666666666667,"Rana_sylvatica"
"15558","Rhacophorus maximus","amphibian","Anura","Rhacophoridae",5,"npp.sd",-0.152270779255172,-0.153464297715898,0.5,"Rhacophorus_maximus"
"15559","Rhacophorus rhodopus","amphibian","Anura","Rhacophoridae",5,"npp.sd",-0.751122658518099,-0.975526104890206,0.5,"Rhacophorus_rhodopus"
"15560","Rhacophorus verrucosus","amphibian","Anura","Rhacophoridae",8,"npp.sd",-0.44335122608477,-0.476394227759104,0.2,"Rhacophorus_verrucosus"
"15865","Taricha torosa","amphibian","Caudata","Salamandridae",13,"npp.sd",0.219323040561401,0.222944829470412,0.1,"Taricha_torosa"
