"speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","sd.tavg","sd.tmax","sd.npp","sd.npp.sd","rng.tavg","rng.tmax","rng.npp","rng.npp.sd","SPID","migratory"
"Ailuroedus buccoides","bird","Passeriformes","Ptilonorhynchidae",11,"tavg",0.0950710140318678,0.0953590105336338,0.125,1.60656876298117,1.55228931762952,0.584148557365153,0.179688551125511,3.898416519165,4.9331665039062,1.81631326675415,0.452858269214631,"SP34","resident"
"Ailuroedus melanotis","bird","Passeriformes","Ptilonorhynchidae",8,"tavg",-0.061142512328395,-0.0612188755493555,0.2,0.720938031008225,0.783134453807547,0.900770077252494,0.25131283096029,2.0928325653076,2.2799987792968,2.04373049736023,0.56315529346466,"SP35","resident"
"Aimophila ruficeps","bird","Passeriformes","Passerellidae",24,"tavg",-0.34659487481219,-0.361568513535979,0.0476190476190476,5.56761770529948,5.71978050000057,0.594080849663748,0.195116423414456,21.041583776474,21.7035002708435,2.57226628065109,0.740661859512329,"SP36","resident"
"Aix sponsa","bird","Anseriformes","Anatidae",27,"tavg",-0.151269753402558,-0.152439670282344,0.0416666666666667,3.13670601561259,3.74864732846805,0.540070588283555,0.411742314565675,11.6466536521912,12.6035823822021,2.31308424472809,1.71466903388501,"SP37","migratory"
"Alauda arvensis","bird","Passeriformes","Alaudidae",7,"tavg",-0.391311896062463,-0.413348199607791,0.25,5.69208878037904,4.3092408600605,1.23382361544215,0.634694943820793,14.9595832824707,11.4305830001831,3.82395029067993,1.65953302383423,"SP38","migratory"
"Alcedo atthis","bird","Coraciiformes","Alcedinidae",7,"tavg",-0.654505814571183,-0.783140914063111,0.25,8.35053975782891,8.68431650284648,0.72400800760692,0.568101220466619,21.6012506484985,23.3125858306884,1.77748274803162,1.57838773727417,"SP39","migratory"
"Ceyx azureus","bird","Coraciiformes","Alcedinidae",8,"tavg",-0.121957873657084,-0.122567983622031,0.2,2.09310075518385,1.91559861463415,0.76967060296465,0.204230380616745,6.1370830535889,5.7356681823731,2.34128260612488,0.665195405483241,"SP40","resident"
"Corythornis cristatus","bird","Coraciiformes","Alcedinidae",10,"tavg",-0.747029977169159,-0.966200737170412,0.142857142857143,5.34361980497472,4.5289339786605,0.686466133905259,0.245791193264734,12.6270818710327,12.1733322143554,2.22227776050568,0.721370309591296,"SP41","migratory"
"Alcedo cyanopectus","bird","Coraciiformes","Alcedinidae",7,"tavg",-0.229118319995671,-0.23325873978213,0.25,0.80079770540844,1.0566430948559,0.675650651946387,0.318155795607626,1.9955005645752,2.5774173736573,1.60934412479401,0.758755534887318,"SP42","resident"
"Corythornis leucogaster","bird","Coraciiformes","Alcedinidae",7,"tavg",0.544197885732903,0.610100565660607,0.25,1.43855275175314,1.84643555223831,0.695433239972932,0.196384839939477,3.8643321990967,5.7450008392334,1.75841617584228,0.589760065078738,"SP43","resident"
"Alcedo quadribrachys","bird","Coraciiformes","Alcedinidae",7,"tavg",-0.69712859797233,-0.86169237114431,0.25,1.76418380155268,2.39859448186273,0.82146539573857,0.144546682859969,4.8602504730225,6.9164180755615,2.27296423912049,0.388950109481815,"SP44","resident"
"Alcippe castaneceps","bird","Passeriformes","Pellorneidae",8,"tavg",-0.0844557753201365,-0.0846574405177411,0.2,3.16577050169027,3.46018835151338,0.882828316311181,0.174574787084797,8.61950063705447,9.3889999389648,2.70673239231109,0.562266588211056,"SP45","resident"
"Alcippe morrisonia","bird","Passeriformes","Pellorneidae",10,"tavg",-0.128377553275012,-0.129089865097857,0.142857142857143,2.4148850198495,2.23950007575836,0.716496890219924,0.164536121528894,7.418249130249,6.7404174804688,2.03809881210328,0.44831371307373,"SP46","resident"
"Alcippe davidi","bird","Passeriformes","Pellorneidae",7,"tavg",0.0751799419488151,0.0753220638306225,0.25,6.31048708652304,8.55828003552086,0.562290399469929,0.233430943919278,13.6482496261597,18.1635017395019,1.82818222045899,0.6995837688446,"SP47","resident"
"Aleadryas rufinucha","bird","Passeriformes","Corvidae",6,"tavg",-0.732090780240382,-0.933218155197323,0.333333333333333,5.62354535120786,5.12287617966855,0.634050046735232,0.157967263406461,13.2062540054321,11.9038333892822,1.58554029464722,0.446392357349396,"SP48","resident"
"Alectoris chukar","bird","Galliformes","Phasianidae",7,"tavg",0.571428571428571,0.64964149206513,0.25,6.03777584310455,6.28647350716022,0.456649320814465,0.422070235107888,19.3644165992737,19.1949163675308,1.06287367641926,0.997889637947078,"SP49","resident"
"Alethe diademata","bird","Passeriformes","Muscicapidae",8,"tavg",0.0339043624700213,0.0339173625244219,0.2,2.17347584016478,2.77602464744611,0.865113461599804,0.213058605073297,6.0962505340576,8.2665843963623,2.49689471721649,0.638894915580753,"SP50","resident"
"Alethe poliocephala","bird","Passeriformes","Muscicapidae",7,"tavg",0.215922007312041,0.219374712936798,0.25,3.38906919400509,3.47836812480428,1.09775455511741,0.259142087937894,9.0633335113525,9.726749420166,3.36075997352601,0.612010300159457,"SP51","resident"
"Alophoixus bres","bird","Passeriformes","Pycnonotidae",7,"tavg",0.19865278058981,0.201329593351039,0.25,1.26562929951973,1.20463894952774,0.547250487303174,0.118486836848111,3.4486770629882,3.2449836730957,1.60004091262818,0.346237421035764,"SP52","resident"
"Alophoixus ochraceus","bird","Passeriformes","Pycnonotidae",5,"tavg",-0.698136120629621,-0.863655171862628,0.5,3.90130918090421,3.72115521299547,0.65029820686289,0.0872319395791422,8.5490837097168,8.2291660308838,1.65109586715698,0.213347494602203,"SP53","resident"
"Alopochen aegyptiaca","bird","Anseriformes","Anatidae",5,"tavg",-0.189445574247187,-0.191762041893561,0.5,1.71782306848753,1.69796838981432,0.62864789991284,0.0752088813986815,4.0894994735718,4.5067501068115,1.49143129587173,0.189492732286454,"SP54","resident"
"Amalocichla incerta","bird","Passeriformes","Petroicidae",5,"tavg",-0.645058558177675,-0.76678921849311,0.5,3.08820489997977,2.58722156078345,0.475742387406311,0.201727544195941,7.8725032806396,5.9203338623047,1.0600049495697,0.45436012744904,"SP55","resident"
"Amazilia amazilia","bird","Apodiformes","Trochilidae",8,"tavg",-0.354125497413127,-0.370152959564379,0.2,3.49280179076944,3.34384713262878,0.693312349429017,0.177733758060556,9.4930830001831,8.3799991607666,2.07021877169609,0.52708001434803,"SP56","resident"
"Amazilia beryllina","bird","Apodiformes","Trochilidae",19,"tavg",0.25860575641867,0.2646136591595,0.0625,2.55628147798741,2.2146944202391,0.851695099260829,0.154731379505835,9.6354179382325,8.5068321228028,2.81642127037048,0.62007421255112,"SP57","resident"
"Amazilia candida","bird","Apodiformes","Trochilidae",6,"tavg",-0.369891366939869,-0.388297241762161,0.333333333333333,0.947814504233532,1.59048263918099,0.328081937710965,0.137691596050933,2.4774150848389,4.3775825500488,0.69727969169617,0.341334998607637,"SP58","migratory"
"Amazilia chionogaster","bird","Apodiformes","Trochilidae",10,"tavg",-0.708252933257627,-0.883669616833313,0.142857142857143,4.03797244045695,3.57601417198782,0.943534157125196,0.517814353052227,15.7274169921875,13.8253326416015,3.017469227314,1.47060734033584,"SP59","resident"
"Amazilia cyanocephala","bird","Apodiformes","Trochilidae",8,"tavg",0.45999203652612,0.497301186814955,0.2,1.25290831441886,0.968192422727558,0.611023324638326,0.236254016474918,2.7689170837403,2.8374996185303,2.06535005569458,0.596618592739108,"SP60","migratory"
"Amazilia cyanura","bird","Apodiformes","Trochilidae",6,"tavg",0.0220570386443322,0.0220606167005267,0.333333333333333,2.83542376470794,2.5336536703286,0.818684938429314,0.203154297309724,7.5240840911865,6.9324989318847,2.02926969528198,0.570724368095394,"SP61","resident"
"Amazilia fimbriata","bird","Apodiformes","Trochilidae",7,"tavg",0.285293522926568,0.29343522846224,0.25,1.32810644668923,1.1796949839752,1.46724888451178,0.32337546992212,3.380916595459,3.1130847930908,3.47142243385315,0.865547984838487,"SP62","resident"
"Amazilia rutila","bird","Apodiformes","Trochilidae",11,"tavg",-0.722753665233259,-0.91338642579879,0.125,2.17967868869788,2.14855917279888,0.700524059618327,0.127472910826196,5.2625827789306,5.3109169006347,2.45609045028687,0.478595614433288,"SP63","migratory"
"Amazilia tzacatl","bird","Apodiformes","Trochilidae",7,"tavg",0.366848450378334,0.384776579638856,0.25,3.16353968256874,3.51448295022464,0.708234774315677,0.26642726071446,7.84375,9.7026672363281,1.8768424987793,0.80041253566742,"SP64","resident"
"Amblycercus holosericeus","bird","Passeriformes","Icteridae",12,"tavg",0.811281443620609,1.13076653406399,0.111111111111111,4.92155702768729,4.91630250509641,1.01750850553332,0.384105674972749,16.1804990768433,15.9274997711181,3.45851421356201,1.38276904821395,"SP65","resident"
"Amblyornis macgregoriae","bird","Passeriformes","Ptilonorhynchidae",14,"tavg",-0.0328581692435564,-0.032870002118969,0.0909090909090909,4.26853734294366,3.96818822494795,0.527029693856707,0.184957447038167,13.6859998703003,12.4950008392334,1.80265474319458,0.647706925868988,"SP66","resident"
"Amblyospiza albifrons","bird","Passeriformes","Ploceidae",7,"tavg",0.19879221160814,0.201474756972576,0.25,2.74575877158752,2.33191323750137,0.642188182812188,0.243920966359877,7.997751235962,7.386833190918,1.78087770938874,0.691666096448902,"SP67","resident"
"Amblyramphus holosericeus","bird","Passeriformes","Icteridae",5,"tavg",-0.673125059058674,-0.81643539771525,0.5,2.89233407306501,3.22244379335936,0.795437650138192,0.316215920764764,6.4978332519531,7.5902500152588,1.91755431890488,0.760848790407183,"SP68","resident"
"Ammodramus aurifrons","bird","Passeriformes","Passerellidae",8,"tavg",-0.242278450232602,-0.247193231419124,0.2,2.99251036273644,2.64696527353955,0.894894327038252,0.256061618407171,6.9247493743896,6.5491657257081,2.96092724800109,0.69011878967285,"SP69","resident"
"Ammodramus caudacutus","bird","Passeriformes","Passerellidae",11,"tavg",0.461876843855148,0.499694474950069,0.125,6.69377950074471,6.5248940359972,0.791795951949251,0.463275317337017,24.5683851242065,24.3643379509449,2.02762478590011,1.22780740261078,"SP70","migratory"
"Ammodramus humeralis","bird","Passeriformes","Passerellidae",7,"tavg",-0.149693374895178,-0.150826767713351,0.25,2.00984461241483,1.63542188274564,1.18871045432084,0.304696019107782,5.769250869751,4.7617511749267,2.50506591796875,0.749067187309267,"SP71","resident"
"Ammodramus nelsoni","bird","Passeriformes","Passerellidae",5,"tavg",-0.080078715398746,-0.0802505479621024,0.5,2.27884932140422,2.93162027535164,0.710798902849511,0.562697012778597,5.73200035095214,7.2674989700318,1.45035052299499,1.22085410356521,"SP72","migratory"
"Ammodramus savannarum","bird","Passeriformes","Passerellidae",26,"tavg",-0.132010801242591,-0.132785764848144,0.0434782608695652,4.9963279646299,5.33964675072609,0.770738983399207,0.474201295479702,20.705667257309,20.7676672935486,3.10606506466865,1.93319347500801,"SP73","migratory"
"Ampelion rubrocristatus","bird","Passeriformes","Cotingidae",14,"tavg",0.0549826762236793,0.0550381828850684,0.0909090909090909,2.90038021982327,2.75767747896229,0.739436906876206,0.387264252664442,8.53591680526734,7.6998329162598,2.58504319190979,1.20945817232132,"SP74","resident"
"Artemisiospiza belli","bird","Passeriformes","Passerellidae",17,"tavg",0.487304333170749,0.532519080478581,0.0714285714285714,4.85676459289027,4.86112601888091,0.799938540484082,0.457420636037645,17.6133337020874,18.5316658020019,2.37832383066416,1.18257646262645,"SP75","migratory"
"Amphispiza bilineata","bird","Passeriformes","Passerellidae",26,"tavg",-0.615684171904144,-0.71802454912866,0.0434782608695652,3.11731040231833,2.6915986412779,0.186220490778575,0.0476131026178033,10.20791721344,9.2719173431397,0.724833138287067,0.167055502533913,"SP76","migratory"
"Anabacerthia striaticollis","bird","Passeriformes","Furnariidae",5,"tavg",-0.477882496278458,-0.520236465520364,0.5,1.72528846775826,1.84855918539977,0.633238072593006,0.253038777906833,4.0948333740234,4.5502490997314,1.29179120063781,0.60361850261689,"SP77","resident"
"Anairetes flavirostris","bird","Passeriformes","Tyrannidae",12,"tavg",-0.298279153936652,-0.30762963452374,0.111111111111111,4.89148127806682,4.42890498469753,0.628003634525478,0.174577351769772,15.936416387558,14.2096662521362,2.18149977922439,0.479517385363579,"SP78","migratory"
"Anairetes nigrocristatus","bird","Passeriformes","Tyrannidae",7,"tavg",-0.274725728322907,-0.281968215167255,0.25,5.66530284585236,5.32177406860763,0.651000947954954,0.172945240798537,14.2152500152588,13.724250793457,1.9187518954277,0.472820550203323,"SP79","resident"
"Anairetes parulus","bird","Passeriformes","Tyrannidae",15,"tavg",0.0626341393037682,0.0627162379515023,0.0833333333333333,3.53586619733852,3.55005632416168,0.698769483025707,0.564372669083346,10.658417224884,9.7404165267944,2.29479390382766,1.95166723430157,"SP80","migratory"
"Anairetes reguloides","bird","Passeriformes","Tyrannidae",18,"tavg",-0.39332074328863,-0.415722478442141,0.0666666666666667,6.00409616074425,5.29030810972088,0.418017111024762,0.155909658924164,16.0997495651245,14.9193334579468,1.65024062991142,0.50435683131218,"SP81","resident"
"Anas acuta","bird","Anseriformes","Anatidae",7,"tavg",-0.287695666926676,-0.296052170561577,0.25,5.33679157817511,4.61658462618984,1.69441477686671,0.501876144088398,14.0180864334106,12.7802753448486,4.84253299236298,1.20343534648419,"SP82","migratory"
"Mareca americana","bird","Anseriformes","Anatidae",14,"tavg",-0.484936963361504,-0.529419153503947,0.0909090909090909,4.47558558021722,5.40435292349195,0.840184889305391,0.637983791051492,15.2737503051757,18.8193321228027,2.78427517414093,1.69484071433545,"SP83","migratory"
"Anas clypeata","bird","Anseriformes","Anatidae",17,"tavg",0.222408757150163,0.226188795484993,0.0714285714285714,3.91117710601824,4.45572168257753,0.708261731447473,0.414339830889879,14.5438334941864,19.4753332138061,2.36954724788666,1.71644680202008,"SP84","migratory"
"Anas crecca","bird","Anseriformes","Anatidae",16,"tavg",-0.479251044757405,-0.522011556973889,0.0769230769230769,4.4443628447672,4.99315996409733,0.665114520259586,0.487349005541574,20.073100566864,20.5955216884613,2.62912392616272,1.44970068335533,"SP85","migratory"
"Anas discors","bird","Anseriformes","Anatidae",6,"tavg",-0.149988022328075,-0.151128182586174,0.333333333333333,2.2050478116611,2.55922433740636,0.680513975144383,0.615020514037059,5.29499959945678,5.8720827102661,1.74850791692733,1.46084314584732,"SP86","migratory"
"Anas platyrhynchos","bird","Anseriformes","Anatidae",44,"tavg",-0.173060436439351,-0.174819878533864,0.024390243902439,4.61092588786583,5.47289753121301,0.69397966146821,0.551214675039005,23.9075827598572,26.4129987955093,3.21543800830841,2.16886369884015,"SP87","migratory"
"Anas rubripes","bird","Anseriformes","Anatidae",6,"tavg",-0.318874069608847,-0.330393232577122,0.333333333333333,3.19775052399562,3.11807097665317,0.428956066563747,0.473868448537129,9.38217735290527,8.81695842742916,1.09782254695893,1.31339168548584,"SP88","migratory"
"Mareca strepera","bird","Anseriformes","Anatidae",9,"tavg",0.365777477072689,0.383539625175181,0.166666666666667,3.14788188700059,2.87015046596518,0.754775214461073,0.600160675426005,10.6966009140015,8.7763547897339,2.23830485343933,1.77577114105225,"SP89","migratory"
"Anas undulata","bird","Anseriformes","Anatidae",5,"tavg",0.454945484880162,0.490918947031866,0.5,1.03595900547237,1.69079185151538,1.02553177968211,0.0296524711243324,2.6645841598511,4.7783336639405,2.41716754436493,0.0657833814620971,"SP90","resident"
"Andigena hypoglauca","bird","Piciformes","Ramphastidae",6,"tavg",-0.233428969012946,-0.237812993061749,0.333333333333333,3.07181465547876,2.9344135226025,1.00582736433286,0.420024507824866,7.37133312225345,6.6234169006348,2.58504319190979,1.18177264928817,"SP91","resident"
"Anisognathus igniventris","bird","Passeriformes","Thraupidae",10,"tavg",0.21004032230773,0.213213529497118,0.142857142857143,3.28698451014427,2.98042817688945,1.04622522101645,0.39808131228803,10.1130828857422,8.6706657409668,2.96429592370987,1.18177264928817,"SP92","resident"
"Anisognathus lacrymosus","bird","Passeriformes","Thraupidae",7,"tavg",0.468243269125729,0.507817899070385,0.25,2.59837208430858,2.52855580787305,0.430903616309456,0.2990334357325,6.4969997406006,6.2447509765625,1.38436102867127,0.864696949720382,"SP93","resident"
"Anisognathus somptuosus","bird","Passeriformes","Thraupidae",8,"tavg",-0.316853893634643,-0.328146000788962,0.2,3.24046943609229,3.49586090234702,0.693058639030836,0.230460165966301,10.0029163360596,10.6980838775635,1.76102161407471,0.727872133255007,"SP94","resident"
"Anthochaera carunculata","bird","Passeriformes","Meliphagidae",7,"tavg",-0.0181848241863325,-0.0181868290841652,0.25,1.76948621661149,2.29375072947785,1.20841048554517,0.271334753133861,5.2272510528564,7.2481670379639,3.04686525464058,0.806289792060854,"SP95","migratory"
"Anthracothorax dominicus","bird","Apodiformes","Trochilidae",5,"tavg",-0.23964654834354,-0.24439909158487,0.5,1.1514439176974,1.35372257271236,0.662446278192877,0.191894877303124,2.4490013122558,2.5653324127197,1.67224133014679,0.493223994970322,"SP96","resident"
"Anthracothorax nigricollis","bird","Apodiformes","Trochilidae",6,"tavg",-0.476490686685923,-0.518434286419658,0.333333333333333,0.963941103543177,0.896690363314813,0.940642538815827,0.416984119605141,2.5279712677002,2.3093318939209,2.57858228683472,1.19402289390563,"SP97","migratory"
"Anthreptes collaris","bird","Passeriformes","Nectariniidae",19,"tavg",-0.53756980075386,-0.600731386250267,0.0625,2.85386567613651,2.3590439887902,0.690809553572781,0.253326486623467,9.3686656951904,7.3899173736572,2.3785080909729,0.716122478246692,"SP98","resident"
"Anthus hodgsoni","bird","Passeriformes","Motacillidae",14,"tavg",-0.639823378457953,-0.757874646212017,0.0909090909090909,11.2150469102842,10.9034945919981,0.986882074076711,0.448823550549713,30.055917263031,28.914668560028,3.93841600418091,1.42997708916665,"SP99","migratory"
"Anthus lutescens","bird","Passeriformes","Motacillidae",6,"tavg",-0.660551909044148,-0.793792132311071,0.333333333333333,4.92689443054265,5.17897312466988,1.11624254600806,0.311097809914529,10.665584564209,10.7010822296142,2.76494547724724,0.630020856857295,"SP100","resident"
"Anthus novaeseelandiae","bird","Passeriformes","Motacillidae",5,"tavg",-0.701646415445623,-0.870536116276782,0.5,6.24582405540829,7.38341967886159,1.86856293110575,0.753614907425779,13.6717147827148,15.4951667785645,4.11837057769298,1.86674380302429,"SP101","resident"
"Anthus rubescens","bird","Passeriformes","Motacillidae",18,"tavg",-0.505634748987155,-0.556847614943181,0.0666666666666667,8.61835140214088,9.63206276184286,3485.10936931875,11783.9225620233,26.4403343200684,29.0902659893036,8868.45474821329,28427.567162022,"SP102","migratory"
"Anthus similis","bird","Passeriformes","Motacillidae",6,"tavg",-0.855214495938118,-1.27525111735993,0.333333333333333,1.73394348383953,1.67090683075461,1.15316572204668,0.351840800620281,3.7725009918212,4.0723342895507,2.90153014659881,0.874737858772282,"SP103","migratory"
